iso3,admin,continent,ncell,burned_frac_pct,p_ann,t_air,gpp,gdp_pcap,fire_resid,gdp_resid
TZA,United Republic of Tanzania,Africa,306,22.640131810594873,825.8236204766054,21.230572207540185,0.8384138112284569,749.3145919799811,0.8033321676399213,-0.6640794024247842
TJK,Tajikistan,Asia,57,0.277870881521974,565.7479127607037,2.7471348906991135,0.028638443847326275,663.1430656861066,0.06675200772443535,-1.0084884512283745
SYR,Syria,Asia,73,1.4572827156805124,282.7029626683539,19.28747567600305,0.04538796820621894,1491.0718846289,0.0646606257747153,-0.18163916943761205
CHE,Switzerland,Europe,17,0.0901319445975429,814.7932824023204,5.06069613584384,0.5334876987000502,73437.23983928331,-0.7302919710349239,0.7936152643499002
SWE,Sweden,Europe,310,0.09492097181366836,625.6009074978459,2.9642195628978607,0.7203661409569317,49435.36155909083,-0.5732440911716414,0.4345525660798888
SWZ,eSwatini,Africa,5,13.231941710927808,792.7824536902021,19.988813268494383,1.184600933582268,3216.2501124377095,0.630402883546259,-0.1596280314807208
SUR,Suriname,South America,49,0.29023062663271504,2179.7795231851487,25.13432402190795,2.6252025870795133,5923.352629300511,-1.308721495954687,0.31994560536376326
SSD,South Sudan,Africa,201,64.8539548977347,993.8882422438511,29.03780445034121,0.2261238767589096,1375.87731816094,0.8805278696316655,0.17192454479856956
SDN,Sudan,Africa,629,6.449702451575964,250.32124931247893,28.42135296915585,0.004912706092072154,990.6832443237308,0.4202503651973877,0.10437960544873581
LKA,Sri Lanka,Asia,22,5.047721605637182,1664.6749455285085,25.292525820227844,1.626872648785562,2687.747833704595,-0.09132636578468911,0.040211061073770704
ESP,Spain,Europe,213,0.819114422671206,621.8612630158552,13.455653624825997,0.7373456829790156,27647.638466123055,-0.18943620544522793,0.5787103517458583
KOR,South Korea,Asia,40,0.5695542063184099,1324.5350692842947,11.153904102985368,1.3568553671656534,25055.173159573365,-0.2980851617804928,0.4622979525160633
ZAF,South Africa,Africa,447,4.347093583438609,467.2786575892167,18.947822399210985,0.3545605202086909,6108.992158873371,0.3240528456550151,0.22016992072601482
SOM,Somalia,Africa,154,0.41944674314197833,297.53297108841355,27.414049998700765,0.05920927223232109,394.0022729282733,-0.9352825765086804,-0.4676186648660474
SLB,Solomon Islands,Oceania,10,0.003376099967334322,2245.96988931085,18.334152618412794,0.8706282757858097,1663.010987526577,-2.8567067574544045,-0.23644641525437393
SVK,Slovakia,Europe,25,0.39351126208257087,789.1241553559249,8.468983733451507,0.5884142311204176,14543.799761824843,-0.269565413729064,0.19642962811654252
SVN,Slovenia,Europe,10,0.07914021783671307,1404.0599734225652,9.454626352567935,1.447834015637634,21377.850923105412,-1.066355142574753,0.32537525136579326
SLE,Sierra Leone,Africa,24,52.98171601571993,2596.4142915368375,26.170479313773974,1.4067683093743413,717.6939209856172,0.9345995000570105,-0.3729426525477133
SRB,Republic of Serbia,Europe,31,3.8777359556507185,765.7415838191424,11.72496492074338,0.8247583243875934,5706.749128032643,0.5457934338853188,-0.15754797969924006
SEN,Senegal,Africa,67,28.89611476051945,743.7310213675189,29.024130532879497,0.08481290537994632,1193.8134191662566,0.59959536753149,0.19241717984055695
SAU,Saudi Arabia,Asia,683,0.01654751544062642,75.88411401478278,19.871202140722612,5.062520054681429e-06,21224.293090531002,-0.37619163314745196,0.21974171666713715
RWA,Rwanda,Africa,10,4.444416243330464,861.6537567481723,16.06330556149885,0.49971181629042044,555.0620345171,0.38032012754047506,-0.8833273717117232
RUS,Russia,Europe,11722,2.6459136863355006,435.4617010014396,-2.513718997869802,0.360702534747631,9242.258410644532,1.2538979895914193,-0.438040251678228
ROU,Romania,Europe,109,3.0194033827535063,666.410895760774,10.137675096374876,0.6182819656746311,8085.148835988733,0.5468184593216874,-0.03524116715926073
QAT,Qatar,Asia,3,0.001276166652168859,42.25628536784561,18.10620685950909,9.293963408759985e-05,66076.44395369657,-1.3749331850983486,1.0879113634874158
PRT,Portugal,Europe,43,2.258894901425854,803.725708031587,14.41172184752082,1.1568337410227172,20403.78613771193,0.15552473230506172,0.43659279640537907
POL,Poland,Europe,165,0.352420377255421,605.2173663285325,8.853111534193127,0.6288527408532179,11538.347331598115,-0.30425382295840253,0.0492672419875273
PHL,Philippines,Asia,91,3.8376101647120966,2548.4624538973208,24.57588610668624,1.5916339638754975,2191.696265631922,-0.12715012560353145,0.01884093156783484
PER,Peru,South America,425,0.8334893127006572,1620.5129767343792,18.99261676203524,2.2029376748849696,4823.012563633097,-0.5494174378810154,-0.02395607683347656
PRY,Paraguay,South America,141,9.845439305923131,1168.0478134623856,24.617447594616095,1.0535229822078869,4336.152431537406,0.23753513140498872,0.2469667353009175
PNG,Papua New Guinea,Oceania,147,0.9143055179703943,3079.734081484404,22.97551123422861,3.4083237426026374,1785.7041060178854,-0.646898144941862,-0.27423497636349525
PAN,Panama,North America,25,3.1873994095852827,2411.2246687876604,24.988213237544446,2.5176729697243823,9703.74818242426,-0.24658165878561356,0.5605108624627486
PAK,Pakistan,Asia,323,2.0228145945489,240.83131048533016,17.310241293637674,0.035018334165326265,1089.4818223767384,0.38176865385117753,-0.39439108612949836
OMN,Oman,Asia,111,0.0031109278239206946,49.672592487246646,25.832731240690535,0.003610373027100218,18438.054312234945,-1.872388421991925,1.0588345829211465
NOR,Norway,Europe,348,0.05129987322533527,805.4466763967587,1.7478903108391863,0.48140419830678605,78481.70022294405,-0.7960982829976635,0.7124760325410824
NGA,Nigeria,Africa,300,23.413028205113147,1149.2998361894768,27.338434815427718,0.4233734820739703,1969.912023362501,0.4983667775836036,0.18482355408843
NER,Niger,Africa,403,0.29509097515943344,155.07376466437617,20.326447837124384,0.0006785983055413423,439.7497264059413,-0.1246088867043536,-0.6628990111242734
NIC,Nicaragua,North America,45,5.246654705589388,1981.0378893212135,22.508848395250165,1.7999171796103208,1603.229198477651,0.08347955144209929,-0.2781391240028461
