iso3,admin,continent,burned_frac_pct,p_ann,t_air,gpp,f_past,f_scnd,f_human,gdp_pcap
MWI,Malawi,Africa,20.74200820012441,682.016689321805,16.07712960194547,0.47475012281300766,0.16565525870608375,0.24626316697950346,0.41191842568558723,508.7789362970868
MDG,Madagascar,Africa,24.35734801296613,1449.0852727237418,22.47371919946358,1.5201046333232693,0.6244791839842885,0.10100864941301771,0.7254878333973062,428.5161959396902
MKD,North Macedonia,Europe,1.4490439268507223,692.4577754916837,10.827828017837307,0.8272792870365724,0.2782133497532091,0.3014590188443731,0.5796723685975822,4671.423444042345
LTU,Lithuania,Europe,0.5631403336558725,690.4871965202996,7.4086188391239824,0.938980141613083,0.11832347961620572,0.5211248059476354,0.6394482855638411,12692.280397926157
LBY,Libya,Africa,0.004229563946212951,31.611482098695184,16.470348770516864,0.0019229944695403282,0.05560659067004294,0.5945621823404976,0.6501687730105405,9050.910408307474
LBR,Liberia,Africa,12.5052676811915,2485.4485237896615,24.897436014062578,2.592341748419609,0.11554005146358402,0.23830985795014875,0.3538499094137328,509.80364539936545
LSO,Lesotho,Africa,2.5394808025174234,781.7455909419897,12.947189193885787,1.6496371928440547,0.21153593693920159,0.370082019649051,0.5816179565882527,943.6996164385585
LBN,Lebanon,Asia,0.6532376760095495,675.5128786548646,16.195678470564115,0.555523468576718,0.3382352680645218,0.24152415476205996,0.5797594228265818,6618.256932508593
LVA,Latvia,Europe,0.7662400657229115,682.332531745791,6.790303411262968,0.992337474747045,0.09340141241861492,0.34753524460004903,0.44093665701866397,11878.384493954156
LAO,Laos,Asia,26.863278630364515,1845.104039447203,23.939623059608387,2.2519267376215883,0.032385476404215144,0.17000077313794526,0.2023862495421604,1369.053641770574
KGZ,Kyrgyzstan,Asia,0.6246022572681605,453.00353126770386,1.5903935085613408,0.019411916601816116,0.4360035613328966,0.09406818055095721,0.5300717418838538,904.2210727864594
KWT,Kuwait,Asia,0.0028580548855583194,107.11025598553918,26.873621552571947,2.9004866702818833e-05,0.09265303364246232,0.7820524239732257,0.8747054576156881,35711.16248117578
KEN,Kenya,Africa,1.563392208514219,664.5755750327629,24.297924735702196,0.4645881463968457,0.36386291436307217,0.2761922427035055,0.6400551570665777,1125.4394799595423
KAZ,Kazakhstan,Asia,4.755238868681175,234.4030695489091,5.931645956890286,0.009764733850829955,0.5777643065496813,0.06452159278137083,0.6422858993310521,7506.294620987613
JOR,Jordan,Asia,0.025814894194545454,103.60986412098737,19.57804484759293,0.006491412482054508,0.0909898521880872,0.8673103518486062,0.9583002040366934,3535.6216200976755
JPN,Japan,Asia,0.14374167276924815,1480.1786848108259,10.094650870172396,1.554315694187431,0.0034734475213760354,0.7633750812267026,0.7668485287480786,39936.27566691219
JAM,Jamaica,North America,1.331637294619577,1577.7424888610842,18.84473701318105,1.8493955614257875,0.1293269063171465,0.288683638907969,0.4180105452251155,4817.701269398679
ITA,Italy,Europe,1.7133487742104783,793.1899595910738,12.274303050948996,0.9286936751458369,0.1321207117515373,0.4582417048652013,0.5903624166167386,33000.882584791456
ISR,Israel,Asia,0.8446890203683618,278.20580968704917,19.38179369845901,0.19733815813843952,0.04874730957693079,0.6817217255435777,0.7304690351205084,31419.88951549424
PSE,Palestine,Asia,0.6460356663837697,364.545163972597,19.898156909200598,0.4468454762856979,0.11359715751081696,0.6728974274745454,0.7864945849853624,2511.115259680134
IRL,Ireland,Europe,0.10059979438690739,1154.8730358282237,9.315110741998451,1.5305871424805317,0.4493908097197976,0.35202905037690974,0.8014198600967073,57005.156851210064
IRQ,Iraq,Asia,0.6422202430269086,181.8495700400859,23.8629473764099,0.0006805627439162144,0.10976812799720871,0.7700943471989962,0.8798624751962049,3951.797480758915
IRN,Iran,Asia,0.32013832851617796,191.1740090072599,17.2166560226267,0.025286468379755653,0.16079762491645325,0.6736096895563923,0.8344073144728456,4692.931567786637
IDN,Indonesia,Asia,1.4968913369115853,2707.5023835629236,24.527159598954178,2.540963311009293,0.04939173198017018,0.24721752264831415,0.2966092546284843,2623.0711256319437
IND,India,Asia,5.093420353677614,1074.7790558876409,23.265377823033436,0.42591882798137454,0.030746377467693344,0.17337939160910112,0.20412576907679447,1253.739535216265
ISL,Iceland,Europe,0.00580200282992781,904.4518669799121,1.3562272481245616,0.27860646386704874,0.14751007018235843,0.3546033209615602,0.5021133911439186,53672.89183511385
HUN,Hungary,Europe,1.648264015128785,617.8660546810225,11.940172280134476,0.28960445670322893,0.1132189828478171,0.34813120615937965,0.46135018900719676,12763.135710509108
HND,Honduras,North America,8.596836214076374,1870.8899301278366,23.85281477145533,2.403656299939731,0.14499726690205988,0.391156779527397,0.536154046429457,1853.8996498877543
HTI,Haiti,North America,1.9727567967622128,1570.8147937214087,24.544862003573577,0.5561131791571019,0.18030415632298655,0.10207797387936378,0.2823821302023503,1133.876604668916
GUY,Guyana,South America,0.9371849321591198,2323.6747297773163,24.929512187611063,3.07294357894742,0.024457388393393387,0.045223257463211264,0.06968064585660465,4142.920438033771
GNB,Guinea-Bissau,Africa,29.570730091642602,1541.015230176007,25.0133786345546,0.4686188652384234,0.09248861303543295,0.26136275730877323,0.35385137034420616,601.5214666470343
GIN,Guinea,Africa,62.86718904472029,1783.2614604960886,26.22198986719568,0.7479237663239895,0.43111906427817537,0.21089113284452732,0.6420101971227027,693.8261867478343
GTM,Guatemala,North America,10.965820700250676,2143.9386016732738,23.025589820273893,2.394042027106602,0.1718553500929148,0.34025183510795015,0.512107185200865,3044.548064780336
GRC,Greece,Europe,1.5898981006572022,612.5717849439163,12.364244046346343,0.4648868469687315,0.20200191047992197,0.2514336465100358,0.45343555698995774,21494.947031568296
GHA,Ghana,Africa,55.92172759940595,1109.0400450451823,25.693095807179212,0.6630046078891949,0.2355129187068985,0.41612840114794525,0.6516413198548437,1338.792819164926
DEU,Germany,Europe,0.1454649594673556,734.0247170532995,9.713626135828164,0.19716973766286275,0.14457157684093644,0.4697847403487126,0.614356317189649,41161.09017632519
GEO,Georgia,Asia,1.2482808013673772,1113.4406397387136,8.645687979486818,1.299974145871975,0.19295489054827789,0.6936780894407869,0.8866329799890648,3218.0801448594875
GMB,Gambia,Africa,25.81533909356484,1036.968744154566,27.637272389356095,0.04810308613163739,0.16573619333169035,0.44280450298581203,0.6085406963175024,641.052712216426
GAB,Gabon,Africa,2.1619297902649364,1848.0079976677957,24.734256040064444,2.755403372166319,0.05953659911248192,0.03856102024824983,0.09809761936073175,7247.275366377349
FRA,France,Europe,0.25855216211043114,1041.2809755924,13.194598145414517,0.9760865729227806,0.1494338367942754,0.3749158742265716,0.524349711020847,37706.1699000185
NCL,New Caledonia,Oceania,0.2210272459782393,1360.458670098382,18.31588035182684,2.0396456893333355,0.0844502315311475,0.04922108221607004,0.13367131374721755,30727.682218902803
FIN,Finland,Europe,0.1074148688678456,563.2937849600354,2.3353865650143053,0.529832524852264,0.002437736598420098,0.4270432579446851,0.42948099454310523,43822.418106222576
FJI,Fiji,Oceania,4.2307814658549665,1274.888316568713,11.661351881107755,1.4668095089202233,0.07105481683961258,0.1145528339923552,0.18560765083196779,4106.309808650366
ETH,Ethiopia,Africa,10.558927102938258,834.703976388242,23.698490989449482,0.7496491931435763,0.18825442576714266,0.21927953414347176,0.4075339599106144,410.3196037686462
EST,Estonia,Europe,0.26840047527924316,645.4926089899234,5.89743799701748,1.0353456997086774,0.06163459026380702,0.5994374018508399,0.661071992114647,15859.015337905628
ERI,Eritrea,Africa,0.3570175300410033,262.47613507600107,27.22190354645609,0.04428678017174099,0.5379792436691244,0.07534596265762407,0.6133252063267485,464.4134682776884
GNQ,Equatorial Guinea,Africa,1.0474722903520142,2141.457727270025,21.221742369176418,3.0130906616169666,0.014354913934449405,0.31685305047030055,0.33120796440475,10002.254799126273
SLV,El Salvador,North America,6.115816865898809,1648.890043264841,25.088845019774798,0.6640806686329751,0.03661635100945484,0.5309234395667588,0.5675397905762136,3191.680332167837
EGY,Egypt,Africa,0.1457260084371132,12.038450466270866,21.716815067213805,0.004203874627676326,3.707895625479634e-05,0.8788010962556929,0.8788381752119477,2228.8421386605864
ECU,Ecuador,South America,1.6333037656356146,1962.9843321548472,19.30816377172319,2.5122228758530287,0.12237325384273097,0.16885018399880192,0.2912234378415329,4527.747605270807
DOM,Dominican Republic,North America,3.0151692315734384,1440.0301760077955,22.549775383737074,1.5003870943978392,0.21494275168359395,0.10393757697538143,0.31888032865897536,5397.221006398713
DJI,Djibouti,Africa,0.004058133341514237,215.7931419663655,28.585084259789717,0.00546162249055661,0.5293130758310777,0.39675748022954593,0.9260705560606236,1607.730452352842
GRL,Greenland,North America,0.0006412783136612039,19.637528775078078,-0.11664259958674182,1.2045073682332228e-06,0.0,2.6203517178201193e-06,2.6203517178201193e-06,41900.38233645557
DNK,Denmark,Europe,0.2824299689145187,663.8091090017294,8.180372383100464,0.2894231722714552,0.032217300601664105,0.16843962256615203,0.20065692316781614,54148.14789962971
CZE,Czechia,Europe,0.1861605266595123,677.9442632181137,8.842762902109593,0.6815975553909146,0.12040742311416462,0.5006788460745218,0.6210862691886865,17875.724790180535
CUB,Cuba,North America,7.000184788309052,1377.685251659741,25.01179419534779,0.9446709212216143,0.21063766253914,0.11818348131735255,0.3288211438564926,5973.501075522472
HRV,Croatia,Europe,1.676250761143882,1079.3302934937296,12.049948299348129,1.2438597629696018,0.07692644895077812,0.5637172782951569,0.6406437272459351,12532.239801673926
CIV,Ivory Coast,Africa,33.47400978875543,1303.626097151676,26.843546309902077,0.8591295938621585,0.38887716896570257,0.17478821189921753,0.5636653808649201,1584.6152085867757
