C:\Users\owusu\miniforge3\Lib\site-packages\pyproj\network.py:59: UserWarning: pyproj unable to set PROJ database path.
  _set_context_ca_bundle_path(ca_bundle_path)
[I 2026-06-08 12:07:12,012] A new study created in memory with name: no-name-6216fa72-d528-4c4d-a3a0-d0282f20c4cf
[I 2026-06-08 12:07:38,557] Trial 21 finished with values: [10.892772220574614, 10.892772220574614] and parameters: {'k1': 0.0003179302199939536, 'D_low': 2.3764449553865354, 'k2': 0.0020564614086027925, 'D_high': 13.924162890248676, 'fire_exp': 2.921447042060987, 'P_half': 148.10800730363493, 'pre_dampen_half': 0.27083591868016804, 'gpp_af': 0.8998420889037456, 'gpp_b': 1.524058016414757e-05, 'gpp_d': 0.015372374060846974, 'ign_k': 1.9516513783265599, 'ign_c': 2.7590690254397843, 'trop_agb_crit': 1.5405783270032232, 'trop_k_veg': 2.1272255937459805}.
[I 2026-06-08 12:07:39,660] Trial 22 finished with values: [10.787663427592921, 10.787663427592921] and parameters: {'k1': 0.012021930484915042, 'D_low': 7.299348683062307, 'k2': 0.003101429427212743, 'D_high': 21.947742689197344, 'fire_exp': 1.1263716762638152, 'P_half': 133.4807155996069, 'pre_dampen_half': 5.048653998722947, 'gpp_af': 1.5386842469144075, 'gpp_b': 0.22727308251068193, 'gpp_d': 757.2868182332339, 'ign_k': 0.11619873314872933, 'ign_c': 1.9580595319750387, 'trop_agb_crit': 14.948114979829949, 'trop_k_veg': 1.0594599158279707}.
[I 2026-06-08 12:07:40,867] Trial 23 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.0005700142105246941, 'D_low': 2.0598022365449626, 'k2': 1.2629989039319992e-05, 'D_high': 70891.41723796894, 'fire_exp': 6.854568494872217, 'P_half': 607.9905434073398, 'pre_dampen_half': 1.10857408536991, 'gpp_af': 0.007353119099448618, 'gpp_b': 8.682049468455238e-05, 'gpp_d': 0.17832592720985765, 'ign_k': 0.15736446109772145, 'ign_c': 72.17448452444773, 'trop_agb_crit': 9.444774154985085, 'trop_k_veg': 1.0865357077254767}.
[I 2026-06-08 12:07:42,075] Trial 24 finished with values: [10.889822806242362, 10.889822806242362] and parameters: {'k1': 0.06598741607403362, 'D_low': 894.5150807271528, 'k2': 0.0016497426799845453, 'D_high': 2798.2272717049286, 'fire_exp': 2.627846918579106, 'P_half': 9.793184984206247, 'pre_dampen_half': 0.6023700815747873, 'gpp_af': 6.155035361040188, 'gpp_b': 1.220003093173824e-05, 'gpp_d': 0.03805074835058821, 'ign_k': 0.0015276032303600073, 'ign_c': 0.14551749476072262, 'trop_agb_crit': 18.3492792986878, 'trop_k_veg': 3.517697529584014}.
[I 2026-06-08 12:07:43,476] Trial 25 finished with values: [10.892755066057655, 10.892755066057655] and parameters: {'k1': 0.0007883068789768041, 'D_low': 2.4622754931226587, 'k2': 0.0009256855841989632, 'D_high': 783.2259769732478, 'fire_exp': 1.4900535273878766, 'P_half': 54.37591736923918, 'pre_dampen_half': 0.9829324480069708, 'gpp_af': 1.200191344086032, 'gpp_b': 0.06464901394322495, 'gpp_d': 0.016846901973653922, 'ign_k': 0.0315101491238403, 'ign_c': 31.874227118134094, 'trop_agb_crit': 5.535964054794066, 'trop_k_veg': 5.373862339436157}.
[I 2026-06-08 12:07:44,762] Trial 26 finished with values: [-0.48769717180018535, 0.22806149372809492] and parameters: {'k1': 0.004312951023617458, 'D_low': 4.484744524732794, 'k2': 1.915468390724633e-05, 'D_high': 3712.591045287726, 'fire_exp': 1.0629462657398439, 'P_half': 220.3445560633069, 'pre_dampen_half': 502.5175192217655, 'gpp_af': 0.7539992074650279, 'gpp_b': 0.0021331409710300844, 'gpp_d': 16.460426816350523, 'ign_k': 0.0680787482656459, 'ign_c': 15.221840161091626, 'trop_agb_crit': 24.584290528289387, 'trop_k_veg': 1.4584243470991722}.
[I 2026-06-08 12:07:45,959] Trial 27 finished with values: [10.866987501932757, 10.866987501932757] and parameters: {'k1': 0.06994589881535453, 'D_low': 4182.178526757453, 'k2': 6.069662445477729e-05, 'D_high': 18.942844905792818, 'fire_exp': 1.2611826901294014, 'P_half': 1.1827346017839087, 'pre_dampen_half': 0.029662981696401067, 'gpp_af': 2.6003623362924237, 'gpp_b': 2.6738182964551835e-05, 'gpp_d': 0.3934396739328545, 'ign_k': 2.3960796124300754, 'ign_c': 0.1239046892818203, 'trop_agb_crit': 15.961316409649486, 'trop_k_veg': 1.0923378209074766}.
[I 2026-06-08 12:07:47,131] Trial 28 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 2.9693357731296325e-05, 'D_low': 612.2780092275807, 'k2': 0.0032792262899971644, 'D_high': 32351.025657883612, 'fire_exp': 5.433392060430592, 'P_half': 1636.5290600718067, 'pre_dampen_half': 0.2571419084734534, 'gpp_af': 0.0077125451401819246, 'gpp_b': 0.3189249600851242, 'gpp_d': 108.18665579547857, 'ign_k': 9.162638829638215, 'ign_c': 4.4716799012313055, 'trop_agb_crit': 3.544180417534903, 'trop_k_veg': 4.30392173391187}.
[I 2026-06-08 12:07:48,427] Trial 29 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.00023078849815277971, 'D_low': 5284.809078673603, 'k2': 0.02714257255218683, 'D_high': 519.9673923878321, 'fire_exp': 5.634703493906651, 'P_half': 1042.7291060979032, 'pre_dampen_half': 0.03278078460674784, 'gpp_af': 32.56600861272841, 'gpp_b': 0.010752618432192773, 'gpp_d': 135.6086306413594, 'ign_k': 0.019063314120324366, 'ign_c': 382.0259936390113, 'trop_agb_crit': 3.757492064184006, 'trop_k_veg': 0.5152521789563916}.
[I 2026-06-08 12:07:49,747] Trial 30 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.041833856821460375, 'D_low': 2.31817761129035, 'k2': 0.0001893453091519151, 'D_high': 63131.75583634936, 'fire_exp': 8.924977849661843, 'P_half': 196.6760839944309, 'pre_dampen_half': 14.427333163005196, 'gpp_af': 0.1746737362654535, 'gpp_b': 0.0005744663972188569, 'gpp_d': 0.4398683628529413, 'ign_k': 0.4898620823554847, 'ign_c': 102.21111307208339, 'trop_agb_crit': 14.765842451489418, 'trop_k_veg': 4.4644194212034}.
[I 2026-06-08 12:07:51,175] Trial 31 finished with values: [10.892797274318513, 10.892797274318513] and parameters: {'k1': 2.316457903103837e-05, 'D_low': 94.99072859745384, 'k2': 1.6991629902581918e-05, 'D_high': 1578.0309954142967, 'fire_exp': 2.763952030254024, 'P_half': 3554.812765190894, 'pre_dampen_half': 0.5682966065442918, 'gpp_af': 0.0038488863031271342, 'gpp_b': 7.210246166617508e-05, 'gpp_d': 64.20268021730274, 'ign_k': 0.29707920514735997, 'ign_c': 0.2537994662905845, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 3.49157152291552}.
[I 2026-06-08 12:07:52,388] Trial 32 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 1.9545735860656975e-05, 'D_low': 1938.3858782150498, 'k2': 0.0066829607218309986, 'D_high': 21.15412774188856, 'fire_exp': 1.2157316246544858, 'P_half': 8842.15887512662, 'pre_dampen_half': 0.7436249946022379, 'gpp_af': 0.07131990160433635, 'gpp_b': 0.7530042086543884, 'gpp_d': 544.8072608137535, 'ign_k': 8.790311296857817, 'ign_c': 103.16033434719708, 'trop_agb_crit': 3.5956799721244663, 'trop_k_veg': 0.6302529481725916}.
[I 2026-06-08 12:07:54,006] Trial 33 finished with values: [10.838064474108437, 10.838064474108437] and parameters: {'k1': 0.012840669372724958, 'D_low': 171.2446447678494, 'k2': 0.0004976087827261435, 'D_high': 42210.21267871043, 'fire_exp': 1.2918065501148304, 'P_half': 93.43302657318476, 'pre_dampen_half': 0.011396414164620812, 'gpp_af': 0.2204465010099918, 'gpp_b': 2.176805640408474e-05, 'gpp_d': 0.03927259340973166, 'ign_k': 0.0029519227433917453, 'ign_c': 39.52220881906114, 'trop_agb_crit': 12.647327018493208, 'trop_k_veg': 2.520089655463604}.
[I 2026-06-08 12:07:55,574] Trial 34 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.07058138788373682, 'D_low': 31.585104499227995, 'k2': 0.00013894673469237192, 'D_high': 29812.370697208862, 'fire_exp': 1.6733848721157607, 'P_half': 7126.727573532312, 'pre_dampen_half': 0.011501973785501987, 'gpp_af': 70.695884676536, 'gpp_b': 1.815346247026201e-05, 'gpp_d': 285.57196407381804, 'ign_k': 0.12906379659404604, 'ign_c': 937.2580613581177, 'trop_agb_crit': 1.285305820648146, 'trop_k_veg': 2.3220791324604515}.
