[setup] COUPLING-READY: climate (D_bar/T_air/P_*) + GPP all from global_baseline_modelC_inputs_1997-2016.nc ...
[setup] loading GFED5 reference from burntArea.nc ...
[setup] land cells (GFED5 burnable): 13916 / 64800 (21.5%)
[setup] GFED5 land-mean monthly frac: 0.005068
[opt] warm-start from params.spatial.k1.json
[warm] Overall=0.3989  bias=0.5816 rmse=0.3647 seas=0.6545 spatial=0.0294
[opt] sampler=NSGAIISampler seed=42
[I 2026-07-22 20:35:38,271] A new study created in memory with name: no-name-09828b6d-0763-4b9e-b80a-0568282818b7
[opt] running 2500 trials against GFED5 ...
[I 2026-07-22 20:35:47,537] Trial 21 finished with values: [10.627087088468636, 10.627087088468636] and parameters: {'k1': 0.004373100990516265, 'D_low': 47.81931841485258, 'k2': 0.06598741607403362, 'D_high': 267535.550698083, 'fire_exp': 1.6618799814410974, 'P_half': 279.82272717049284, 'pre_dampen_half': 1.2531420756075002, 'gpp_af': 0.017324270154949098, 'gpp_b': 0.0013672126623075966, 'gpp_d': 61.550353610401785, 'ign_k': 0.0011417577140741143, 'ign_c': 0.29126651668813763, 'trop_agb_crit': 1.1693687409928537, 'trop_k_veg': 0.559773544096922, 'fuel_k': 2.3801202050712624, 'fuel_half': 12.911407200549913}.
[I 2026-07-22 20:35:47,969] Trial 22 finished with values: [10.767581733914355, 10.767581733914355] and parameters: {'k1': 0.0007883068789768041, 'D_low': 3.86371393182755, 'k2': 0.0009256855841989632, 'D_high': 6931.554219323896, 'fire_exp': 1.171990128270338, 'P_half': 54.37591736923918, 'pre_dampen_half': 0.9829324480069707, 'gpp_af': 1.200191344086032, 'gpp_b': 0.06464901394322498, 'gpp_d': 0.016846901973653922, 'ign_k': 0.0315101491238403, 'ign_c': 31.874227118134108, 'trop_agb_crit': 5.535964054794066, 'trop_k_veg': 5.373862339436158, 'fuel_k': 0.6760059777297097, 'fuel_half': 0.30817917005205625}.
[I 2026-07-22 20:35:48,410] Trial 23 finished with values: [10.752174349418672, 10.752174349418672] and parameters: {'k1': 1.915468390724633e-05, 'D_low': 7153.452030884037, 'k2': 1.2765717873951678e-05, 'D_high': 32707.96223514813, 'fire_exp': 2.3667655023073495, 'P_half': 200.3995359361214, 'pre_dampen_half': 0.8726691654212084, 'gpp_af': 1.6460426816350544, 'gpp_b': 0.005617167092871686, 'gpp_d': 5.346676975436892, 'ign_k': 5.832560268546886, 'ign_c': 3.502761367842312, 'trop_agb_crit': 26.290267902103615, 'trop_k_veg': 6.153480144962659, 'fuel_k': 0.03498947175913593, 'fuel_half': 0.1614670469622492}.
[I 2026-07-22 20:35:48,825] Trial 24 finished with values: [10.76742873256896, 10.76742873256896] and parameters: {'k1': 2.5299503921303695e-05, 'D_low': 1.286266485339375, 'k2': 2.3865571736727097e-05, 'D_high': 125325.84471303935, 'fire_exp': 1.0674039642039916, 'P_half': 18.875676307822275, 'pre_dampen_half': 167.63957643123777, 'gpp_af': 0.0013072530948736417, 'gpp_b': 0.7705678683116644, 'gpp_d': 0.25661017560409516, 'ign_k': 0.0029693357731296367, 'ign_c': 61.22780092275801, 'trop_agb_crit': 8.492290599869307, 'trop_k_veg': 5.695758802954583, 'fuel_k': 1.1018907554284363, 'fuel_half': 25.73017803008086}.
[I 2026-07-22 20:35:49,235] Trial 25 finished with values: [10.135311843464153, 10.135311843464153] and parameters: {'k1': 0.00013431925993528124, 'D_low': 11.604789380012715, 'k2': 0.010056781316817115, 'D_high': 693439.2750387826, 'fire_exp': 2.4783442138475, 'P_half': 44.71679901231308, 'pre_dampen_half': 0.7245868181143029, 'gpp_af': 7.62192732934522, 'gpp_b': 0.0011087183655158347, 'gpp_d': 450.59526947401275, 'ign_k': 2.7142572552186843, 'ign_c': 5.199673923878318, 'trop_agb_crit': 12.856643861355176, 'trop_k_veg': 4.050700716504253, 'fuel_k': 0.019341658237934812, 'fuel_half': 51.01039893789344}.
[I 2026-07-22 20:35:49,647] Trial 26 finished with values: [10.731916976520761, 10.731916976520761] and parameters: {'k1': 0.0010495653625093638, 'D_low': 90937.87396959367, 'k2': 0.0001906331412032436, 'D_high': 2361235.86415402, 'fire_exp': 1.4284956407464617, 'P_half': 1.104970302415413, 'pre_dampen_half': 336.44174907538985, 'gpp_af': 0.0028604435659156367, 'gpp_b': 0.0008239138919814073, 'gpp_d': 562.7426550259207, 'ign_k': 6.344955605329754, 'ign_c': 19.667608399443072, 'trop_agb_crit': 8.576304173303555, 'trop_k_veg': 1.733613253381165, 'fuel_k': 0.06525050422102326, 'fuel_half': 0.9682636678036}.
[I 2026-07-22 20:35:50,062] Trial 27 finished with values: [10.697718033674501, 10.697718033674501] and parameters: {'k1': 0.004898620823554844, 'D_low': 32677.376097937307, 'k2': 0.014666151770108535, 'D_high': 546649.376092156, 'fire_exp': 1.0871627347485018, 'P_half': 94.99072859745384, 'pre_dampen_half': 0.01939964577577238, 'gpp_af': 0.5592994749372484, 'gpp_b': 0.004458440839692221, 'gpp_d': 274.48645214004335, 'ign_k': 0.025331450012450227, 'ign_c': 0.2939463458625969, 'trop_agb_crit': 1.626357634890109, 'trop_k_veg': 4.129715873342729, 'fuel_k': 0.5217990518430394, 'fuel_half': 0.2010796072862617}.
[I 2026-07-22 20:35:50,489] Trial 28 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 2.1698375693549493e-05, 'D_low': 16062.560954780438, 'k2': 1.9545735860656975e-05, 'D_high': 853415.1646713236, 'fire_exp': 1.9100381338040326, 'P_half': 2.1154127741888553, 'pre_dampen_half': 0.02655758440526785, 'gpp_af': 85.74284557962639, 'gpp_b': 0.0017604543767148696, 'gpp_d': 0.7131990160433629, 'ign_k': 1.7831926649375953, 'ign_c': 615.1688122361401, 'trop_agb_crit': 28.605077487330046, 'trop_k_veg': 4.037641278318055, 'fuel_k': 0.11099567024348489, 'fuel_half': 0.17803367228855937}.
[I 2026-07-22 20:35:50,901] Trial 29 finished with values: [10.646559698944325, 10.646559698944325] and parameters: {'k1': 0.012840669372724958, 'D_low': 2240.9155921647994, 'k2': 0.0004976087827261435, 'D_high': 2742371.6496047364, 'fire_exp': 1.10726080528881, 'P_half': 93.43302657318476, 'pre_dampen_half': 0.011396414164620812, 'gpp_af': 0.2204465010099918, 'gpp_b': 2.176805640408474e-05, 'gpp_d': 0.03927259340973168, 'ign_k': 0.0029519227433917453, 'ign_c': 39.52220881906112, 'trop_agb_crit': 12.647327018493208, 'trop_k_veg': 2.520089655463604, 'fuel_k': 4.710433409437071, 'fuel_half': 1.3323297901105766}.
[I 2026-07-22 20:35:51,319] Trial 30 finished with values: [10.766844657012633, 10.766844657012633] and parameters: {'k1': 0.00013894673469237216, 'D_low': 162777.64805093448, 'k2': 7.841214856323651e-05, 'D_high': 6016379.6919274125, 'fire_exp': 1.0111992801255827, 'P_half': 7577.314388518511, 'pre_dampen_half': 0.016436129702486316, 'gpp_af': 28.55719640738185, 'gpp_b': 0.014662453726154785, 'gpp_d': 922.1975850381756, 'ign_k': 0.001973268844408891, 'ign_c': 16.421663082032175, 'trop_agb_crit': 27.025726513675966, 'trop_k_veg': 2.1322718398894507, 'fuel_k': 0.5604857991960507, 'fuel_half': 12.224921159070403}.
