=== fitting Africa (TAG=africa) ===
[I 2026-06-10 19:19:47,590] A new study created in memory with name: no-name-fb54fd59-4718-4744-8f1a-27ebc4d37290
[I 2026-06-10 19:20:20,953] Trial 21 finished with values: [10.83333333328067, 10.83333333328067] and parameters: {'k1': 1.6096330648219375e-05, 'D_low': 133.4807155996069, 'k2': 0.0014539199187561544, 'D_high': 3545.843846227985, 'fire_exp': 5.322201753534139, 'P_half': 8005.866020696464, 'pre_dampen_half': 3.815063241036454, 'gpp_af': 0.041189105896489775, 'gpp_b': 0.5903603324157484, 'gpp_d': 0.22602748689012583, 'ign_k': 0.057001421052469435, 'ign_c': 0.2059802236544963, 'trop_agb_crit': 1.0900492537293804, 'trop_k_veg': 7.21297117645184, 'fire_amp': 4.472176921013167}.
[I 2026-06-10 19:20:22,266] Trial 22 finished with values: [10.563790233828271, 10.563790233828271] and parameters: {'k1': 0.006079905434073396, 'D_low': 43.2326421037033, 'k2': 4.933751600448335e-05, 'D_high': 42.242359735170886, 'fire_exp': 1.7792742686803427, 'P_half': 157.3644610977214, 'pre_dampen_half': 37.40930273158252, 'gpp_af': 1.9998014714101113, 'gpp_b': 0.00047819318414852577, 'gpp_d': 594.7389794988394, 'ign_k': 0.8945150807271531, 'ign_c': 16.497426799845446, 'trop_agb_crit': 8.0091368834625, 'trop_k_veg': 1.6003641872536711, 'fire_amp': 1.5587346124822492}.
[I 2026-06-10 19:20:23,849] Trial 23 finished with values: [10.69101281637322, 10.69101281637322] and parameters: {'k1': 0.00026539376439360527, 'D_low': 1074.940539517341, 'k2': 1.1417577140741129e-05, 'D_high': 29.126651668813768, 'fire_exp': 1.111738490499784, 'P_half': 1.4551749476072258, 'pre_dampen_half': 189.36639872354493, 'gpp_af': 3.298293484806585, 'gpp_b': 0.006999112505425414, 'gpp_d': 0.030844007727232167, 'ign_k': 0.09256855841989636, 'ign_c': 7.832259769732471, 'trop_agb_crit': 1.8023542850487386, 'trop_k_veg': 1.6648666152166967, 'fire_amp': 2.042193818779288}.
[I 2026-06-10 19:20:25,414] Trial 24 finished with values: [10.821355611653665, 10.821355611653665] and parameters: {'k1': 0.0029067012153229104, 'D_low': 347.03605955441515, 'k2': 1.5178052094448868e-05, 'D_high': 315.101491238403, 'fire_exp': 4.225323019584208, 'P_half': 102.93072560417136, 'pre_dampen_half': 191.62369310763663, 'gpp_af': 1.9654778690222015, 'gpp_b': 9.497440085397415e-05, 'gpp_d': 0.02253428262837267, 'ign_k': 0.371259104528773, 'ign_c': 0.1276571787395169, 'trop_agb_crit': 7.332660227137139, 'trop_k_veg': 6.778288138489648, 'fire_amp': 2.804180410489304}.
[I 2026-06-10 19:20:26,771] Trial 25 finished with values: [10.83333333328067, 10.83333333328067] and parameters: {'k1': 0.00035700944411057794, 'D_low': 374.2423001985197, 'k2': 0.0006807874826564588, 'D_high': 1522.1840161091638, 'fire_exp': 8.739061764166133, 'P_half': 35.02761367842313, 'pre_dampen_half': 639.6653397497474, 'gpp_af': 33.63203991537027, 'gpp_b': 0.0001495363613262712, 'gpp_d': 0.022223195374893753, 'ign_k': 0.0025299503921303707, 'ign_c': 0.11827346017839091, 'trop_agb_crit': 1.3788077146542665, 'trop_k_veg': 3.321942481518088, 'fire_amp': 1.1360450031692337}.
[I 2026-06-10 19:20:28,060] Trial 26 finished with values: [10.806855483850724, 10.806855483850724] and parameters: {'k1': 0.0001887567630782227, 'D_low': 2396.0796124300746, 'k2': 1.2390468928182031e-05, 'D_high': 18108.14362107968, 'fire_exp': 1.9136159174067866, 'P_half': 2.969335773129636, 'pre_dampen_half': 30.456909077772018, 'gpp_af': 1.3954498518315706, 'gpp_b': 1.8400604093141188, 'gpp_d': 47.35384181058586, 'ign_k': 1.636529060071807, 'ign_c': 1.3431925993528124, 'trop_agb_crit': 1.8285200278523417, 'trop_k_veg': 4.0068236274914755, 'fire_amp': 4.2446263054164195}.
[I 2026-06-10 19:20:29,348] Trial 27 finished with values: [10.833140036739923, 10.833140036739923] and parameters: {'k1': 0.09162638829638212, 'D_low': 44.71679901231308, 'k2': 0.000307660926226903, 'D_high': 12754.159474033713, 'fire_exp': 2.191813210849194, 'P_half': 5284.809078673603, 'pre_dampen_half': 195.9132274597864, 'gpp_af': 0.13962723467364813, 'gpp_b': 0.32005631950316354, 'gpp_d': 59.253549386197555, 'ign_k': 0.002585207905676133, 'ign_c': 407.57883791361735, 'trop_agb_crit': 5.575951894884665, 'trop_k_veg': 4.94451790729735, 'fire_amp': 1.774381485395348}.
[I 2026-06-10 19:20:30,773] Trial 28 finished with values: [10.634765437500572, 10.634765437500572] and parameters: {'k1': 0.03820259936390116, 'D_low': 36.04182012888637, 'k2': 1.1049703024154134e-05, 'D_high': 41833.85682146036, 'fire_exp': 1.233919071594971, 'P_half': 18.93453091519153, 'pre_dampen_half': 562.7426550259207, 'gpp_af': 56.62858823465573, 'gpp_b': 0.027582100003239053, 'gpp_d': 14.427333163005196, 'ign_k': 0.06219881174029358, 'ign_c': 1.488823059798356, 'trop_agb_crit': 3.058280993112277, 'trop_k_veg': 3.226732148133099, 'fire_amp': 3.8500040010232275}.
[I 2026-06-10 19:20:32,253] Trial 29 finished with values: [10.818381467520512, 10.818381467520512] and parameters: {'k1': 0.014666151770108535, 'D_low': 1440.3650379563878, 'k2': 2.316457903103837e-05, 'D_high': 949.9072859745386, 'fire_exp': 1.14171776851287, 'P_half': 157.80309954142965, 'pre_dampen_half': 1.6130673726933187, 'gpp_af': 27.448645214004376, 'gpp_b': 0.0012749409641020352, 'gpp_d': 0.03848886303127135, 'ign_k': 0.0037322156377670697, 'ign_c': 111.18405953132105, 'trop_agb_crit': 8.188098178380693, 'trop_k_veg': 0.6618107836658104, 'fire_amp': 1.1626468420952578}.
[I 2026-06-10 19:20:33,654] Trial 30 finished with values: [10.83333333328067, 10.83333333328067] and parameters: {'k1': 0.006366144994552208, 'D_low': 1.9545735860656965, 'k2': 0.019383858782150494, 'D_high': 6682.9607218310075, 'fire_exp': 1.2060040899560858, 'P_half': 2.1844940007064118, 'pre_dampen_half': 857.4284557962634, 'gpp_af': 0.07436249946022384, 'gpp_b': 0.001674375583895437, 'gpp_d': 115.87715829876232, 'ign_k': 6.151688122361409, 'ign_c': 879.0311296857806, 'trop_agb_crit': 12.9667438075127, 'trop_k_veg': 1.4191610723668142, 'fire_amp': 1.161384931950548}.
