[setup] COUPLING-READY: climate (D_bar/T_air/P_*) + GPP all from global_baseline_modelC_inputs_1997-2016.nc ...
[fuel] FUEL_WINDOW=60 months, causal trailing mean, 48 months of spin-up ahead of the fit window
[setup] loading GFED5 reference from burntArea.nc ...
[setup] land cells (GFED5 burnable): 13916 / 64800 (21.5%)
[pop] POP_TERM ON: HYDE density, 15031 populated cells, log10 range -1.00 to 3.48
[setup] GFED5 land-mean monthly frac: 0.005068
[pop] fitting a hump in log10 population density, 3 parameters
[opt] warm-start from params.coupledFW.json
[warm] Overall=0.6094  bias=0.6952 rmse=0.3646 seas=0.8119 spatial=0.8107
[opt] sampler=NSGAIISampler seed=42
[I 2026-08-19 12:45:39,506] A new study created in memory with name: no-name-600e1374-c612-45f7-9d73-06eb5c66291d
[opt] running 2500 trials against GFED5 ...
[I 2026-08-19 12:45:42,506] Trial 0 finished with values: [-0.6094076133578652, 0.08021078516453495] and parameters: {'k1': 0.0008685306488754917, 'D_low': 2240.9155921647994, 'k2': 0.0010532624798722347, 'D_high': 6525529.853354094, 'fire_exp': 1.2585476857229763, 'P_half': 355.00125258511594, 'pre_dampen_half': 16.224010950061366, 'gpp_af': 0.03522602097143089, 'gpp_b': 0.00012118589392553798, 'gpp_d': 12.338826503601998, 'ign_k': 2.136832907235876, 'ign_c': 22.126836566118193, 'trop_agb_crit': 26.951029433343408, 'trop_k_veg': 2.724170387400844, 'pop_amp': 0.001, 'pop_peak': 16.0, 'pop_sig': 0.8, 'fuel_k': 0.6149834196910364, 'fuel_half': 0.6603566884894324}.
[I 2026-08-19 12:46:08,157] Trial 10 finished with values: [-0.37217070544052216, 0.003382594990542165] and parameters: {'k1': 1.1650681118986128e-05, 'D_low': 1181.8390883060224, 'k2': 8.053471030316099e-05, 'D_high': 74308.20019313856, 'fire_exp': 1.4940544624243646, 'P_half': 580.4314717414071, 'pre_dampen_half': 0.8583743499363278, 'gpp_af': 48.266959687866404, 'gpp_b': 6.685373335828937e-05, 'gpp_d': 0.5073781437488637, 'ign_k': 0.0028437674894443675, 'ign_c': 499.77493703031746, 'trop_agb_crit': 19.76681084946931, 'trop_k_veg': 1.0222630717749086, 'pop_amp': 0.6896221126698381, 'pop_peak': 163.63160887601643, 'pop_sig': 0.8977198335600793, 'fuel_k': 0.29610750607451336, 'fuel_half': 0.5315656057158319}.
[I 2026-08-19 12:46:10,684] Trial 11 finished with values: [-0.4010940541011565, 4.3402301392880815e-06] and parameters: {'k1': 2.3572794556769812e-05, 'D_low': 241709.96068266948, 'k2': 0.039964301676942524, 'D_high': 62893.9315451975, 'fire_exp': 2.182879644446417, 'P_half': 24.93666083446519, 'pre_dampen_half': 42.63619053601748, 'gpp_af': 30.588015371390597, 'gpp_b': 2.101447504824719, 'gpp_d': 79.3190911385705, 'ign_k': 0.3699359899959751, 'ign_c': 0.2170500348871113, 'trop_agb_crit': 1.7327871113349946, 'trop_k_veg': 6.038611061948211, 'pop_amp': 0.40576032137265017, 'pop_peak': 0.054767989585627036, 'pop_sig': 0.3157995825149297, 'fuel_k': 0.69712116678509, 'fuel_half': 0.10355826161899183}.
[I 2026-08-19 12:46:13,124] Trial 12 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 4.3977668944839594e-05, 'D_low': 1960.6620200097805, 'k2': 0.005855726588796253, 'D_high': 81614.54372835542, 'fire_exp': 1.6759818435211715, 'P_half': 705.857259090179, 'pre_dampen_half': 0.15354845024150163, 'gpp_af': 0.04236414938631994, 'gpp_b': 0.30126482730084564, 'gpp_d': 17.707795393478506, 'ign_k': 2.4939838794891496, 'ign_c': 42.70232968405541, 'trop_agb_crit': 6.909724267901692, 'trop_k_veg': 0.6482845389294265, 'pop_amp': 0.038155460446952685, 'pop_peak': 0.6912153000039369, 'pop_sig': 0.4384596693876216, 'fuel_k': 5.048594494082411, 'fuel_half': 1.5110998901295218}.
[I 2026-08-19 12:46:15,734] Trial 13 finished with values: [-0.35726110015880713, 0.0011239897372889995] and parameters: {'k1': 0.03699867920489089, 'D_low': 6121.132154754231, 'k2': 0.015109330261674455, 'D_high': 10371.04595424719, 'fire_exp': 3.7748863822506733, 'P_half': 93.34064019986363, 'pre_dampen_half': 0.09467055845337147, 'gpp_af': 4.095062894476692, 'gpp_b': 0.0004837646996135023, 'gpp_d': 0.013230608911548413, 'ign_k': 0.3818468247973969, 'ign_c': 0.5110256715654393, 'trop_agb_crit': 24.500297851058132, 'trop_k_veg': 7.040677728995453, 'pop_amp': 8.607146287168973, 'pop_peak': 1.9544910105674127, 'pop_sig': 0.2590577714634562, 'fuel_k': 3.7932317359008088, 'fuel_half': 1.9255395572015603}.
[I 2026-08-19 12:46:18,392] Trial 14 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 0.07355619850853308, 'D_low': 604950.5313715198, 'k2': 0.025824850844906145, 'D_high': 584.3773200430937, 'fire_exp': 2.4271562127665014, 'P_half': 2538.3218374507296, 'pre_dampen_half': 0.3842465933116533, 'gpp_af': 0.007038234513942655, 'gpp_b': 0.021918335723906092, 'gpp_d': 479.4837252202705, 'ign_k': 0.6083019192425827, 'ign_c': 19.065345519393503, 'trop_agb_crit': 1.391686660241692, 'trop_k_veg': 2.751138759371881, 'pop_amp': 18.123885367168285, 'pop_peak': 0.20020529330817138, 'pop_sig': 0.8246499956768644, 'fuel_k': 2.738262613214191, 'fuel_half': 16.684217902257085}.
[I 2026-08-19 12:46:20,753] Trial 15 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 0.006138509947844854, 'D_low': 16402.29067110099, 'k2': 0.00027413507419758244, 'D_high': 577.4987726789047, 'fire_exp': 6.44705173818705, 'P_half': 1739.6167422846984, 'pre_dampen_half': 216.45199495862124, 'gpp_af': 36.830088529547496, 'gpp_b': 0.011696458740181149, 'gpp_d': 3.2179661649786304, 'ign_k': 1.5602015889668863, 'ign_c': 39.797493741031076, 'trop_agb_crit': 10.886548068709027, 'trop_k_veg': 4.541505658710469, 'pop_amp': 6.728831785127672, 'pop_peak': 1.421337820414783, 'pop_sig': 0.5936397333168194, 'fuel_k': 0.01824299099180509, 'fuel_half': 5.430507564500919}.
[I 2026-08-19 12:46:23,102] Trial 16 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 1.392416289024867e-05, 'D_low': 621.7103663128163, 'k2': 0.001481080073036349, 'D_high': 523.8989315858803, 'fire_exp': 3.8979230431144027, 'P_half': 1.3243445838637977, 'pre_dampen_half': 0.015372374060846974, 'gpp_af': 12.971876440863593, 'gpp_b': 0.001449251800073137, 'gpp_d': 0.043181981126981975, 'ign_k': 0.12273630375458194, 'ign_c': 120.2193048491502, 'trop_agb_crit': 2.0835015454357144, 'trop_k_veg': 2.8119323832865257, 'pop_amp': 0.0023285309081692643, 'pop_peak': 0.08341701352955977, 'pop_sig': 0.8497567836052746, 'fuel_k': 0.3176626387065175, 'fuel_half': 8.17127270071559}.
  trial   17/2500  pareto_size=12  best_ilamb=0.6094  (0.7 min)
[I 2026-08-19 12:46:25,657] Trial 17 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 0.008023527304678842, 'D_low': 716328.9063135319, 'k2': 0.0011619873314872927, 'D_high': 866.4406862241786, 'fire_exp': 6.2400230621325194, 'P_half': 12.115155843077673, 'pre_dampen_half': 1.5662356447891177, 'gpp_af': 0.0024676405980083274, 'gpp_b': 1.4193988874743626e-05, 'gpp_d': 650.4921701204659, 'ign_k': 2.207600491318519, 'ign_c': 60.79905434073397, 'trop_agb_crit': 4.018584329485901, 'trop_k_veg': 0.8084202024508578, 'pop_amp': 0.004708042915737182, 'pop_peak': 0.5960356212705233, 'pop_sig': 0.8854553643686127, 'fuel_k': 0.9666195090843235, 'fuel_half': 9.562955396652193}.
[I 2026-08-19 12:46:28,158] Trial 18 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 0.00013174543864342755, 'D_low': 536033.1935690228, 'k2': 0.008945150807271526, 'D_high': 21189.675944936007, 'fire_exp': 4.089975874386939, 'P_half': 47.687027229313756, 'pre_dampen_half': 0.173242701549491, 'gpp_af': 0.060237008157478775, 'gpp_b': 0.3524330779511354, 'gpp_d': 0.011802321563258196, 'ign_k': 0.002912665166881378, 'ign_c': 0.15276032303600073, 'trop_agb_crit': 1.1485803434383741, 'trop_k_veg': 5.358548772317544, 'pop_amp': 1.0628049289894101, 'pop_peak': 5.475274111905318, 'pop_sig': 0.31316568569786407, 'fuel_k': 0.23215778853982408, 'fuel_half': 2.6327844992182525}.
