=== Model H: C + GDP term, CRUJRA climate, 02:51:20 ===
[I 2026-08-06 02:51:34,855] A new study created in memory with name: no-name-f99afc08-7171-4ef4-83f2-49ae8df2fb38
[I 2026-08-06 02:52:08,149] Trial 21 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 0.002884223471687844, 'D_low': 9124.632886689908, 'k2': 3.633591165393166e-05, 'D_high': 1183.9097834757702, 'fire_exp': 7.540029967004172, 'P_half': 918.4900818511542, 'pre_dampen_half': 30.55474791173449, 'gpp_af': 3.254021513867687, 'gpp_b': 0.0014353139548983517, 'gpp_d': 0.29373738302577235, 'ign_k': 1.7276056747028232, 'ign_c': 173.9616742284698, 'gdp_gamma': 0.7281682389061597}.
[I 2026-08-06 02:52:09,689] Trial 22 finished with values: [10.768689041052493, 10.768689041052493] and parameters: {'k1': 0.04497407193749842, 'D_low': 111.0119152484607, 'k2': 0.0010140635645866497, 'D_high': 15602.015889668875, 'fire_exp': 4.466464955232308, 'P_half': 642.4916813668932, 'pre_dampen_half': 95.2715755007094, 'gpp_af': 28.185562669967442, 'gpp_b': 0.001066524757064704, 'gpp_d': 0.7549440440422736, 'ign_k': 0.002376444955386536, 'ign_c': 20.564614086027916, 'gdp_gamma': 0.0013141547946913911}.
[I 2026-08-06 02:52:11,160] Trial 23 finished with values: [10.44327719063846, 10.44327719063846] and parameters: {'k1': 0.0007284371265166888, 'D_low': 148.10800730363493, 'k2': 0.00014001191914113747, 'D_high': 2308.5168151108014, 'fire_exp': 1.0727542652117925, 'P_half': 1.4105638677535268, 'pre_dampen_half': 129.7187644086357, 'gpp_af': 0.06323437159998231, 'gpp_b': 5.7857954539842234e-05, 'gpp_d': 4.08522800366862, 'ign_k': 1.2021930484915047, 'ign_c': 0.7299348683062306, 'gdp_gamma': 0.1138099269777268}.
[I 2026-08-06 02:52:12,692] Trial 24 finished with values: [10.768279038562806, 10.768279038562806] and parameters: {'k1': 2.1947742689197327e-05, 'D_low': 1.6096330648219372, 'k2': 0.0013348071559960686, 'D_high': 1453.919918756155, 'fire_exp': 4.339402166711992, 'P_half': 802.3527304678844, 'pre_dampen_half': 757.2868182332339, 'gpp_af': 0.38150632410364566, 'gpp_b': 0.0008664406862241783, 'gpp_d': 94.60867797081394, 'ign_k': 0.012115155843077676, 'ign_c': 5.700142105246943, 'gdp_gamma': 0.0018154607675396161}.
[I 2026-08-06 02:52:14,153] Trial 25 finished with values: [10.762068467923704, 10.762068467923704] and parameters: {'k1': 1.2629989039319992e-05, 'D_low': 7089.141723796886, 'k2': 0.02207600491318518, 'D_high': 6079.905434073399, 'fire_exp': 2.5642061910321017, 'P_half': 4.933751600448339, 'pre_dampen_half': 0.06055990892372905, 'gpp_af': 0.017832592720985762, 'gpp_b': 0.01974058362112495, 'gpp_d': 37.40930273158252, 'ign_k': 0.43731009905162666, 'ign_c': 1.317454386434276, 'gdp_gamma': 1.419184741934841}.
[I 2026-08-06 02:52:15,661] Trial 26 finished with values: [10.701650990176224, 10.701650990176224] and parameters: {'k1': 0.008945150807271526, 'D_low': 164.97426799845456, 'k2': 0.0027982272717049276, 'D_high': 476.8702722931377, 'fire_exp': 1.7690128577054818, 'P_half': 26.53937643936054, 'pre_dampen_half': 61.550353610401785, 'gpp_af': 0.0011802321563258195, 'gpp_b': 4.970909346198651e-05, 'gpp_d': 0.016982953094030286, 'ign_k': 0.0014551749476072258, 'ign_c': 264.14496454242203, 'gdp_gamma': 0.21027890193889434}.
[I 2026-08-06 02:52:17,151] Trial 27 finished with values: [10.769121175224964, 10.769121175224964] and parameters: {'k1': 0.0007883068789768041, 'D_low': 2.4622754931226587, 'k2': 0.0009256855841989632, 'D_high': 783.2259769732478, 'fire_exp': 1.4900535273878766, 'P_half': 54.37591736923918, 'pre_dampen_half': 0.9829324480069708, 'gpp_af': 1.200191344086032, 'gpp_b': 0.06464901394322495, 'gpp_d': 0.016846901973653922, 'ign_k': 0.0315101491238403, 'ign_c': 31.874227118134094, 'gdp_gamma': 0.04580025346733849}.
[I 2026-08-06 02:52:18,676] Trial 28 finished with values: [10.766845595444622, 10.766845595444622] and parameters: {'k1': 0.026666091485947507, 'D_low': 431.2951023617458, 'k2': 4.484744524732793e-05, 'D_high': 19.154683907246348, 'fire_exp': 4.389542701552226, 'P_half': 1.2765717873951687, 'pre_dampen_half': 8.489417776525737, 'gpp_af': 50.25175192217663, 'gpp_b': 0.028369067932328344, 'gpp_d': 0.8726691654212084, 'ign_k': 0.37424230019851973, 'ign_c': 6.807874826564585, 'gdp_gamma': 0.06325536814595006}.
[I 2026-08-06 02:52:20,159] Trial 29 finished with values: [10.698090384651577, 10.698090384651577] and parameters: {'k1': 0.05832560268546887, 'D_low': 35.02761367842313, 'k2': 0.06994589881535453, 'D_high': 41821.78526757458, 'fire_exp': 1.569607751453048, 'P_half': 1.8942844905792813, 'pre_dampen_half': 0.03190729641440917, 'gpp_af': 0.0012334147231672942, 'gpp_b': 3.686869490609954e-05, 'gpp_d': 26.003623362924223, 'ign_k': 0.0019264360371306567, 'ign_c': 1.887567630782227, 'gdp_gamma': 0.6151184366315611}.
[I 2026-08-06 02:52:21,636] Trial 30 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 1.2390468928182031e-05, 'D_low': 1810.814362107966, 'k2': 0.00013409701145872436, 'D_high': 29.693357731296366, 'fire_exp': 4.974359460695803, 'P_half': 327.9226289997165, 'pre_dampen_half': 243.98328121774384, 'gpp_af': 4.735384181058586, 'gpp_b': 0.6620420614596555, 'gpp_d': 0.2571419084734534, 'ign_k': 0.005125758907937939, 'ign_c': 100.56781316817116, 'gdp_gamma': 0.46066548666177537}.
