=== Model G: fitting Africa  (tag=G_Africa, N_TRIALS=1500)  23:09:08 ===
[I 2026-08-05 23:09:24,398] A new study created in memory with name: no-name-f894e716-50ed-4a8d-a110-f72ccd102180
[I 2026-08-05 23:09:25,853] Trial 0 finished with values: [-0.6048035159299948, 0.28965736009087173] and parameters: {'k1': 0.03635503353478365, 'D_low': 70.18267183720735, 'k2': 0.012758211164590085, 'D_high': 2940.51756322311, 'fire_exp': 1.165368636520435, 'P_half': 12.808863354047988, 'pre_dampen_half': 107.40052367919465, 'gpp_af': 0.1476584299248268, 'gpp_b': 0.0005752434266899163, 'gpp_d': 660.9129108295722, 'ign_k': 8.708806168038567, 'ign_c': 20.03995359361212}.
[I 2026-08-05 23:10:10,825] Trial 31 finished with values: [10.769230769082412, 10.769230769082412] and parameters: {'k1': 0.00035700944411057794, 'D_low': 374.2423001985197, 'k2': 0.0006807874826564588, 'D_high': 1522.1840161091638, 'fire_exp': 8.739061764166133, 'P_half': 35.02761367842313, 'pre_dampen_half': 639.6653397497474, 'gpp_af': 33.63203991537027, 'gpp_b': 0.0001495363613262712, 'gpp_d': 0.022223195374893753, 'ign_k': 0.0025299503921303707, 'ign_c': 0.11827346017839091}.
[I 2026-08-05 23:10:12,159] Trial 32 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 2.3865571736727097e-05, 'D_low': 539.5442811888478, 'k2': 1.926436037130656e-05, 'D_high': 188.75676307822278, 'fire_exp': 6.996410952356466, 'P_half': 1.239046892818203, 'pre_dampen_half': 118.12516086413085, 'gpp_af': 0.02566101756040953, 'gpp_b': 5.116688352281462e-05, 'gpp_d': 30.456909077772018, 'ign_k': 0.3279226289997166, 'ign_c': 323.5102565788354}.
[I 2026-08-05 23:10:13,492] Trial 33 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.008715336806899437, 'D_low': 1636.5290600718067, 'k2': 0.00013431925993528124, 'D_high': 51.257589079379386, 'fire_exp': 5.6313789308320565, 'P_half': 1687.869855879562, 'pre_dampen_half': 896.4492537002844, 'gpp_af': 0.11563475499641605, 'gpp_b': 0.0017065087316216368, 'gpp_d': 76.2192732934521, 'ign_k': 0.02307884981527798, 'ign_c': 528.4809078673597}.
[I 2026-08-05 23:10:14,686] Trial 34 finished with values: [10.72545586956398, 10.72545586956398] and parameters: {'k1': 0.02714257255218683, 'D_low': 51.9967392387832, 'k2': 0.010080550999930625, 'D_high': 10427.291060979045, 'fire_exp': 1.2680134752324452, 'P_half': 4075.7883791361783, 'pre_dampen_half': 3.3594011166738142, 'gpp_af': 13.560863064135962, 'gpp_b': 0.000832333943844274, 'gpp_d': 300.3420512048734, 'ign_k': 0.03604182012888638, 'ign_c': 0.11049703024154134}.
[I 2026-08-05 23:10:15,941] Trial 35 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.041833856821460375, 'D_low': 2.31817761129035, 'k2': 0.0001893453091519151, 'D_high': 63131.75583634936, 'fire_exp': 8.924977849661843, 'P_half': 196.6760839944309, 'pre_dampen_half': 14.427333163005196, 'gpp_af': 0.1746737362654535, 'gpp_b': 0.0005744663972188569, 'gpp_d': 0.4398683628529413, 'ign_k': 0.4898620823554847, 'ign_c': 102.21111307208339}.
[I 2026-08-05 23:10:17,149] Trial 36 finished with values: [10.75661636495484, 10.75661636495484] and parameters: {'k1': 0.014666151770108535, 'D_low': 1440.3650379563878, 'k2': 2.316457903103837e-05, 'D_high': 949.9072859745386, 'fire_exp': 1.14171776851287, 'P_half': 157.80309954142965, 'pre_dampen_half': 1.6130673726933187, 'gpp_af': 27.448645214004376, 'gpp_b': 0.0012749409641020352, 'gpp_d': 0.03848886303127135, 'ign_k': 0.0037322156377670697, 'ign_c': 111.18405953132105}.
[I 2026-08-05 23:10:18,350] Trial 37 finished with values: [10.703759439035082, 10.703759439035082] and parameters: {'k1': 0.0029707920514735983, 'D_low': 2.5379946629058443, 'k2': 2.1698375693549493e-05, 'D_high': 6366.1449945522045, 'fire_exp': 1.182396148413737, 'P_half': 1938.3858782150498, 'pre_dampen_half': 33.9790424311127, 'gpp_af': 0.0025511964576171086, 'gpp_b': 3.228689523591491e-05, 'gpp_d': 857.4284557962634, 'ign_k': 0.03141110271934876, 'ign_c': 3.0378658251922155}.
[I 2026-08-05 23:10:19,602] Trial 38 finished with values: [10.759446300660251, 10.759446300660251] and parameters: {'k1': 0.01783192664937594, 'D_low': 6151.688122361408, 'k2': 0.08790311296857814, 'D_high': 10316.033434719713, 'fire_exp': 2.3782613909771353, 'P_half': 2.157758652553991, 'pre_dampen_half': 76.86605275420082, 'gpp_af': 0.6194713831445294, 'gpp_b': 0.003510201564752293, 'gpp_d': 340.229467527258, 'ign_k': 0.0027847738314446878, 'ign_c': 9.34330265731847}.
[I 2026-08-05 23:10:20,808] Trial 39 finished with values: [10.769222971431242, 10.769222971431242] and parameters: {'k1': 1.1102341430568339e-05, 'D_low': 74.92772870670282, 'k2': 1.6796279878430503e-05, 'D_high': 29.87250655313649, 'fire_exp': 1.3107692568861353, 'P_half': 395.22208819061166, 'pre_dampen_half': 53.73093479067421, 'gpp_af': 0.8257409555143472, 'gpp_b': 5.9297350775555, 'gpp_d': 0.748777692754551, 'ign_k': 0.013894673469237211, 'ign_c': 298.123706972088}.
[I 2026-08-05 23:10:22,028] Trial 40 finished with values: [10.754635249985373, 10.754635249985373] and parameters: {'k1': 7.841214856323651e-05, 'D_low': 7126.727573532312, 'k2': 1.1184534120760473e-05, 'D_high': 75773.14388518519, 'fire_exp': 1.1044852285094786, 'P_half': 3669.20903969591, 'pre_dampen_half': 4.350163152436989, 'gpp_af': 92.21975850381763, 'gpp_b': 2.7719116797094715e-05, 'gpp_d': 5.878566318396007, 'ign_k': 7.537201787998428, 'ign_c': 12.37061744238074}.
[I 2026-08-05 23:10:23,314] Trial 41 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.0032930213963426706, 'D_low': 606.7290033535005, 'k2': 0.0006579066240690734, 'D_high': 3237.668055684036, 'fire_exp': 3.8398504643167155, 'P_half': 4023.759749324184, 'pre_dampen_half': 0.016874538403502292, 'gpp_af': 0.02539896080949815, 'gpp_b': 5.040445281577146, 'gpp_d': 282.69551568161273, 'ign_k': 0.06647020392311619, 'ign_c': 30.236421525614126}.
[I 2026-08-05 23:10:24,594] Trial 42 finished with values: [10.769230764465762, 10.769230764465762] and parameters: {'k1': 0.00012868405331151612, 'D_low': 5.6556775246185085, 'k2': 0.0007158031739371039, 'D_high': 259.06510073644523, 'fire_exp': 3.83403534181858, 'P_half': 2.0461550877877857, 'pre_dampen_half': 744.6874559393902, 'gpp_af': 85.32056493640629, 'gpp_b': 0.15451487116766618, 'gpp_d': 4.79161407246161, 'ign_k': 0.017302564033031168, 'ign_c': 179.96169659044335}.
[I 2026-08-05 23:10:25,865] Trial 43 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.005481818979974934, 'D_low': 4.471649524144919, 'k2': 0.044025950197597, 'D_high': 19505.1355017551, 'fire_exp': 8.908404185420872, 'P_half': 799.6096625957168, 'pre_dampen_half': 11.670137678830988, 'gpp_af': 0.12337159555124105, 'gpp_b': 3.947943239814267, 'gpp_d': 213.9535256831782, 'ign_k': 0.0015166126720973767, 'ign_c': 0.12748758606816127}.
[I 2026-08-05 23:10:27,097] Trial 44 finished with values: [10.769228764444657, 10.769228764444657] and parameters: {'k1': 0.00032051877004248816, 'D_low': 1746.6799020707338, 'k2': 0.08894151386481904, 'D_high': 39.96387247033354, 'fire_exp': 3.927631327238781, 'P_half': 33.38592600709396, 'pre_dampen_half': 707.2484251478384, 'gpp_af': 16.240321246401916, 'gpp_b': 1.0714507872203791, 'gpp_d': 2.205290461230934, 'ign_k': 0.04563289369649656, 'ign_c': 1.2405900331046134}.
