[I 2026-06-09 12:00:37,498] A new study created in memory with name: no-name-61f1ac63-2598-4b78-9083-51bff524db04
[I 2026-06-09 12:00:38,489] Trial 0 finished with values: [10.349574581652188, 10.349574581652188] and parameters: {'k1': 0.03635503353478365, 'D_low': 70.18267183720735, 'k2': 0.012758211164590085, 'D_high': 2940.51756322311, 'fire_exp': 1.165368636520435, 'P_half': 12.808863354047988, 'pre_dampen_half': 107.40052367919465, 'gpp_af': 0.10409127568994281, 'gpp_b': 0.0005752434266899163, 'gpp_d': 660.9129108295722, 'ign_k': 8.708806168038567, 'ign_c': 20.03995359361212, 'trop_agb_crit': 7.500118950416987, 'trop_k_veg': 6.9782110227926815}.
[I 2026-06-09 12:01:05,478] Trial 26 finished with values: [10.892845212862063, 10.892845212862063] and parameters: {'k1': 0.0010293072560417134, 'D_low': 2666.6091485947513, 'k2': 0.004312951023617458, 'D_high': 44.84744524732795, 'fire_exp': 1.1764371961182714, 'P_half': 371.25910452877287, 'pre_dampen_half': 0.013569272143605328, 'gpp_af': 0.8489417776525744, 'gpp_b': 4.3790655739767095, 'gpp_d': 7.539992074650274, 'ign_k': 0.035700944411057804, 'ign_c': 37.42423001985194, 'trop_agb_crit': 4.75220409906931, 'trop_k_veg': 2.269645782037658}.
[I 2026-06-09 12:01:06,539] Trial 27 finished with values: [10.861396269272108, 10.861396269272108] and parameters: {'k1': 0.05832560268546887, 'D_low': 35.02761367842313, 'k2': 0.06994589881535453, 'D_high': 41821.78526757458, 'fire_exp': 1.569607751453048, 'P_half': 1.8942844905792813, 'pre_dampen_half': 0.03190729641440917, 'gpp_af': 0.0012334147231672942, 'gpp_b': 3.686869490609954e-05, 'gpp_d': 26.003623362924223, 'ign_k': 0.0019264360371306567, 'ign_c': 1.887567630782227, 'trop_agb_crit': 17.700408094497767, 'trop_k_veg': 0.5333253256218595}.
[I 2026-06-09 12:01:07,582] Trial 28 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.018108143621079657, 'D_low': 13.409701145872438, 'k2': 2.9693357731296325e-05, 'D_high': 6122.780092275814, 'fire_exp': 4.255424080028274, 'P_half': 3235.1025657883574, 'pre_dampen_half': 47.35384181058586, 'gpp_af': 10.408895582954855, 'gpp_b': 0.0004922746084606874, 'gpp_d': 0.0771254514018192, 'ign_k': 1.005678131681712, 'ign_c': 168.78698558795602, 'trop_agb_crit': 29.04665979638737, 'trop_k_veg': 1.569680251324223}.
[I 2026-06-09 12:01:08,625] Trial 29 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.000307660926226903, 'D_low': 1275.41594740337, 'k2': 0.00023078849815277971, 'D_high': 52848.09078673599, 'fire_exp': 7.217931427947947, 'P_half': 51.9967392387832, 'pre_dampen_half': 56.80091593981319, 'gpp_af': 5.925354938619765, 'gpp_b': 4.156647661004852e-05, 'gpp_d': 325.6600861272836, 'ign_k': 0.10495653625093643, 'ign_c': 202.2226812842962, 'trop_agb_crit': 2.9699700394229143, 'trop_k_veg': 5.988077585312025}.
[I 2026-06-09 12:01:09,730] Trial 30 finished with values: [10.892271000253698, 10.892271000253698] and parameters: {'k1': 0.00036041820128886366, 'D_low': 1.104970302415413, 'k2': 0.041833856821460375, 'D_high': 23.181776112903503, 'fire_exp': 2.0859967986741856, 'P_half': 6313.17558363494, 'pre_dampen_half': 566.2858823465564, 'gpp_af': 0.73652830339233, 'gpp_b': 0.061804951935425775, 'gpp_d': 1.7467373626545335, 'ign_k': 0.01488823059798356, 'ign_c': 2.063755204395021, 'trop_agb_crit': 9.848981136633483, 'trop_k_veg': 4.026421252117683}.
[I 2026-06-09 12:01:10,852] Trial 31 finished with values: [10.876844361394522, 10.876844361394522] and parameters: {'k1': 0.014666151770108535, 'D_low': 1440.3650379563878, 'k2': 2.316457903103837e-05, 'D_high': 949.9072859745386, 'fire_exp': 1.14171776851287, 'P_half': 157.80309954142965, 'pre_dampen_half': 1.6130673726933187, 'gpp_af': 27.448645214004376, 'gpp_b': 0.0012749409641020352, 'gpp_d': 0.03848886303127135, 'ign_k': 0.0037322156377670697, 'ign_c': 111.18405953132105, 'trop_agb_crit': 8.188098178380693, 'trop_k_veg': 0.6618107836658104}.
[I 2026-06-09 12:01:11,878] Trial 32 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 2.1698375693549493e-05, 'D_low': 636.6144994552209, 'k2': 1.9545735860656975e-05, 'D_high': 19383.858782150488, 'fire_exp': 5.084429468530997, 'P_half': 2.1154127741888553, 'pre_dampen_half': 0.02655758440526784, 'gpp_af': 85.74284557962646, 'gpp_b': 0.0017604543767148696, 'gpp_d': 0.713199016043363, 'ign_k': 1.7831926649375947, 'ign_c': 615.1688122361401, 'trop_agb_crit': 28.605077487330046, 'trop_k_veg': 4.037641278318054}.
[I 2026-06-09 12:01:12,892] Trial 33 finished with values: [10.892809305481578, 10.892809305481578] and parameters: {'k1': 0.0003199177539819797, 'D_low': 2.157758652553991, 'k2': 0.012840669372724958, 'D_high': 1712.4464476784942, 'fire_exp': 2.655962930461066, 'P_half': 4221.021267871046, 'pre_dampen_half': 0.03597389076048621, 'gpp_af': 0.2904862107518159, 'gpp_b': 1.1698276136056565e-05, 'gpp_d': 2.2044650100999164, 'ign_k': 0.001679627987843051, 'ign_c': 0.2987250655313649, 'trop_agb_crit': 1.4914219038863046, 'trop_k_veg': 3.0248030485593667}.
[I 2026-06-09 12:01:13,918] Trial 34 finished with values: [10.89269554360392, 10.89269554360392] and parameters: {'k1': 0.00964227507893068, 'D_low': 215.51378799755776, 'k2': 0.07058138788373682, 'D_high': 315.85104499228004, 'fire_exp': 1.9306879511204373, 'P_half': 2981.237069720883, 'pre_dampen_half': 0.13121370319581363, 'gpp_af': 65.48060708583795, 'gpp_b': 1.1828423028976333e-05, 'gpp_d': 706.9588467653589, 'ign_k': 0.001488125805418616, 'ign_c': 366.9209039695906, 'trop_agb_crit': 6.018365016711254, 'trop_k_veg': 7.845466230879747}.
[I 2026-06-09 12:01:14,927] Trial 35 finished with values: [10.892783218777337, 10.892783218777337] and parameters: {'k1': 1.9732688444088917e-05, 'D_low': 164.2166308203218, 'k2': 0.07537201787998425, 'D_high': 1237.061744238075, 'fire_exp': 4.259892485090018, 'P_half': 606.7290033535005, 'pre_dampen_half': 1.8737227240512873, 'gpp_af': 1.373378993679494, 'gpp_b': 0.032054268581070196, 'gpp_d': 320.4719717682607, 'ign_k': 0.00151979678466219, 'ign_c': 1.3300034219784387, 'trop_agb_crit': 25.34387418029853, 'trop_k_veg': 5.901391357852366}.
