########## REGION=Africa TAG=coupledE_af ##########
[setup] COUPLING-READY: climate (D_bar/T_air/P_*) + GPP all from global_baseline_modelC_inputs_1997-2016.nc ...
[setup] loading GFED5 reference from burntArea.nc ...
[setup] land cells (GFED5 burnable): 13916 / 64800 (21.5%)
[setup] GFED5 land-mean monthly frac: 0.005068
[opt] REGION=Africa: fitting 1816 land cells only
[opt] warm-start from params.coupledE_fx.json
[warm] Overall=0.6071  bias=0.6953 rmse=0.3646 seas=0.8005 spatial=0.8107
[opt] sampler=NSGAIISampler seed=42
[I 2026-07-22 21:40:53,486] A new study created in memory with name: no-name-45cb251d-9fcd-41df-8224-8fbb265eab7f
[opt] running 1500 trials against GFED5 ...
[I 2026-07-22 21:41:02,747] Trial 21 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.0015736446109772138, 'D_low': 19389.89852278267, 'k2': 0.004373100990516265, 'D_high': 478.193184148526, 'fire_exp': 2.3987174696212126, 'P_half': 894.5150807271528, 'pre_dampen_half': 5.91248786733662, 'gpp_af': 1.1444682032324742, 'gpp_b': 0.0032930655419269924, 'gpp_d': 0.173242701549491, 'ign_k': 0.026539376439360548, 'ign_c': 107.49405395173397, 'trop_agb_crit': 1.0501731925367062, 'trop_k_veg': 0.6898193780989617, 'fuel_k': 0.013421538374693755, 'fuel_half': 0.13249100882689224}.
[I 2026-07-22 21:41:03,169] Trial 22 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.02641449645424224, 'D_low': 16670.443589841223, 'k2': 0.0007883068789768041, 'D_high': 38.6371393182755, 'fire_exp': 1.569038592007897, 'P_half': 78.32259769732477, 'pre_dampen_half': 0.07345296810407673, 'gpp_af': 0.1476584299248268, 'gpp_b': 0.0024605285374226047, 'gpp_d': 12.00191344086031, 'ign_k': 0.34703605955441535, 'ign_c': 0.15178052094448866, 'trop_agb_crit': 3.575594457014808, 'trop_k_veg': 2.835178685110773, 'fuel_k': 0.24991287225033346, 'fuel_half': 37.108168807575375}.
[I 2026-07-22 21:41:03,579] Trial 23 finished with values: [-0.46255854094445903, 0.4753374593539339] and parameters: {'k1': 0.004312951023617458, 'D_low': 9.497440085397416, 'k2': 1.915468390724633e-05, 'D_high': 71534.52030884045, 'fire_exp': 1.024589524149873, 'P_half': 220.3445560633069, 'pre_dampen_half': 502.5175192217655, 'gpp_af': 0.7539992074650282, 'gpp_b': 0.0021331409710300844, 'gpp_d': 16.460426816350534, 'ign_k': 0.06807874826564587, 'ign_c': 15.221840161091619, 'trop_agb_crit': 24.584290528289387, 'trop_k_veg': 1.4584243470991722, 'fuel_k': 4.680936683972859, 'fuel_half': 52.005817291141206}.
[I 2026-07-22 21:41:04,003] Trial 24 finished with values: [10.769198519483995, 10.769198519483995] and parameters: {'k1': 6.069662445477729e-05, 'D_low': 2.607160725470918, 'k2': 2.5299503921303695e-05, 'D_high': 12.862664853393753, 'fire_exp': 1.0903919400451174, 'P_half': 539.5442811888478, 'pre_dampen_half': 0.022695682239207024, 'gpp_af': 0.03934396739328546, 'gpp_b': 1.172875368591911, 'gpp_d': 0.01307253094873642, 'ign_k': 1.810814362107967, 'ign_c': 1.3409701145872435, 'trop_agb_crit': 1.4946647023314867, 'trop_k_veg': 3.4508425771776365, 'fuel_k': 0.5588539902953052, 'fuel_half': 42.89592532297351}.
[I 2026-07-22 21:41:04,412] Trial 25 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.008715336806899437, 'D_low': 66204.20614596555, 'k2': 0.00013431925993528124, 'D_high': 116.04789380012717, 'fire_exp': 1.9892970599674515, 'P_half': 1687.869855879562, 'pre_dampen_half': 896.4492537002844, 'gpp_af': 0.11563475499641611, 'gpp_b': 0.0017065087316216368, 'gpp_d': 76.2192732934521, 'ign_k': 0.02307884981527798, 'ign_c': 528.4809078673592, 'trop_agb_crit': 18.534450766991437, 'trop_k_veg': 1.6425942005223326, 'fuel_k': 1.2190833389450217, 'fuel_half': 18.349685376940496}.
[I 2026-07-22 21:41:04,828] Trial 26 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 2.5852079056761296e-05, 'D_low': 260206.07998030365, 'k2': 0.0010495653625093638, 'D_high': 909378.7396959377, 'fire_exp': 1.3407893171095366, 'P_half': 3820.259936390117, 'pre_dampen_half': 0.8830969679935063, 'gpp_af': 0.0011328913410639256, 'gpp_b': 2.705776113447921, 'gpp_d': 0.028604435659156362, 'ign_k': 0.018934530915191535, 'ign_c': 631.3175583634927, 'trop_agb_crit': 25.360745838025757, 'trop_k_veg': 2.4516474838484386, 'fuel_k': 0.5692975843713446, 'fuel_half': 2.2148104601284695}.
[I 2026-07-22 21:41:05,240] Trial 27 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.00014888230597983555, 'D_low': 93.75345303884801, 'k2': 0.004898620823554844, 'D_high': 326773.76097937283, 'fire_exp': 2.0653847761096813, 'P_half': 1440.3650379563878, 'pre_dampen_half': 0.02857791336012968, 'gpp_af': 0.29655245488781967, 'gpp_b': 2.2148920285054975e-05, 'gpp_d': 5.59299474937248, 'ign_k': 0.058360903338292344, 'ign_c': 355.4812765190887, 'trop_agb_crit': 3.2987091387776, 'trop_k_veg': 0.6917238310727143, 'fuel_k': 0.02496045629458217, 'fuel_half': 19.254484473270928}.
[I 2026-07-22 21:41:05,678] Trial 28 finished with values: [10.279018000835157, 10.279018000835157] and parameters: {'k1': 0.0029707920514735983, 'D_low': 4.043300846639722, 'k2': 2.1698375693549493e-05, 'D_high': 160625.60954780428, 'fire_exp': 1.0689448798385355, 'P_half': 1938.3858782150498, 'pre_dampen_half': 33.97904243111269, 'gpp_af': 0.0025511964576171086, 'gpp_b': 3.228689523591491e-05, 'gpp_d': 857.4284557962626, 'ign_k': 0.03141110271934876, 'ign_c': 3.0378658251922155, 'trop_agb_crit': 15.870971677383487, 'trop_k_veg': 6.911478238001162, 'fuel_k': 5.486054129200971, 'fuel_half': 18.202647368248815}.
[I 2026-07-22 21:41:06,142] Trial 29 finished with values: [10.765676431758436, 10.765676431758436] and parameters: {'k1': 0.0003199177539819797, 'D_low': 3.169598846855015, 'k2': 0.012840669372724958, 'D_high': 22409.155921648, 'fire_exp': 1.4750777427176416, 'P_half': 4221.021267871046, 'pre_dampen_half': 0.03597389076048619, 'gpp_af': 0.290486210751816, 'gpp_b': 1.1698276136056565e-05, 'gpp_d': 2.2044650100999164, 'ign_k': 0.001679627987843051, 'ign_c': 0.2987250655313649, 'trop_agb_crit': 1.4914219038863046, 'trop_k_veg': 3.024803048559367, 'fuel_k': 1.1820218758583807, 'fuel_half': 5.624789772977319}.
[I 2026-07-22 21:41:06,616] Trial 30 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.07058138788373684, 'D_low': 177.51026696160926, 'k2': 0.00013894673469237216, 'D_high': 1627776.4805093466, 'fire_exp': 1.227376291215979, 'P_half': 7126.727573532312, 'pre_dampen_half': 0.011501973785501987, 'gpp_af': 70.695884676536, 'gpp_b': 1.815346247026201e-05, 'gpp_d': 285.57196407381804, 'ign_k': 0.12906379659404604, 'ign_c': 937.2580613581177, 'trop_agb_crit': 1.285305820648146, 'trop_k_veg': 2.3220791324604515, 'fuel_k': 4.930251243812929, 'fuel_half': 3.7093134348291836}.
