iso3,admin,continent,ba_km2yr,area_km2,burned_frac_pct,ncell,gdp_pcap,pop
IND,India,Asia,161013.17723785198,3161199.4702458684,5.093420353677614,1115,1253.739535216265,1248470070.55
LKA,Sri Lanka,Asia,3401.477055575691,67386.38382467444,5.047721605637182,22,2687.747833704595,20766856.4
BWA,Botswana,Africa,28414.06972292988,589053.9978950243,4.8236782747366345,206,5854.721537723524,2041801.95
KAZ,Kazakhstan,Asia,129079.05005327243,2714459.8540235143,4.755238868681175,1318,7506.294620987613,17175549.4
BOL,Bolivia,South America,48396.508210741435,1082094.9639552238,4.472482529060549,366,2273.473048841358,10272877.8
RWA,Rwanda,Africa,1372.9328303082623,30891.184694245523,4.444416243330464,10,555.0620345171,10506494.3
BGR,Bulgaria,Europe,4935.080334992837,111214.42998519284,4.43744605412256,49,6565.156426607267,7296213.5
ZAF,South Africa,Africa,52465.85917923244,1206918.097625385,4.347093583438609,447,6108.992158873371,53285748.1
FJI,Fiji,Oceania,499.88273293872686,11815.375882046636,4.2307814658549665,4,4106.309808650366,900265.95
BRA,Brazil,South America,352505.37988475873,8524625.945010588,4.135141907206826,2835,8192.923131277155,193834507.55
MDA,Moldova,Europe,1315.1839280218917,33648.28508977537,3.908620972845757,16,2371.838419955654,2835434.9
SRB,Republic of Serbia,Europe,2662.7528903377024,68667.72056662297,3.8777359556507185,31,5706.749128032643,7244073.9
PHL,Philippines,Asia,10543.588924754005,274743.6157456864,3.8376101647120966,91,2191.696265631922,97220227.4
MEX,Mexico,North America,75874.08345762955,1978911.7679761234,3.8341317023561716,703,9514.76369088446,114045340.5
TLS,East Timor,Asia,668.1759123040147,18322.175166190074,3.64681543672282,6,923.8040336652633,1090842.0
NAM,Namibia,Africa,28987.300613916723,822986.3448034492,3.5222091832932723,288,4320.1619827468685,2200023.5
AZE,Azerbaijan,Asia,3049.465519658107,87299.70224821764,3.493099565205409,37,4271.112876051807,9089276.6
PAN,Panama,North America,2436.013550919983,76426.36638490614,3.1873994095852827,25,9703.74818242426,3670639.35
BGD,Bangladesh,Asia,4033.748487103449,130078.68191478681,3.101006581344294,46,1000.3691140353234,152577367.9
ROU,Romania,Europe,7083.320902134449,234593.3949267456,3.0194033827535063,109,8085.148835988733,20437645.05
DOM,Dominican Republic,North America,1410.4585201793166,46778.75143489979,3.0151692315734384,16,5397.221006398713,9881568.3
COL,Colombia,South America,33043.50999177819,1154455.3816255606,2.862259600301783,375,5426.618966941409,44958552.95
ARG,Argentina,South America,78947.5633193347,2792275.729950954,2.8273555678085347,1118,9237.886011036815,41515157.5
CRI,Costa Rica,North America,1315.4285788772518,48698.64550190105,2.7011605052257592,16,8503.928874145264,4561454.4
RUS,Russia,Europe,447126.2587787416,16898746.965476263,2.6459136863355006,11722,9242.258410644532,144161757.2
LSO,Lesotho,Africa,819.8185696547848,32282.920541950425,2.5394808025174234,12,943.6996164385585,2047631.8
PRT,Portugal,Europe,2319.7680167570284,102694.81839516968,2.258894901425854,43,20403.78613771193,10438744.8
GAB,Gabon,Africa,5611.602654883883,259564.51870697437,2.1619297902649364,84,7247.275366377349,1779822.6
PAK,Pakistan,Asia,17456.689934649465,862990.1119802042,2.0228145945489,323,1089.4818223767384,198691030.1
HTI,Haiti,North America,749.9344827693193,38014.543100302544,1.9727567967622128,13,1133.876604668916,9865630.6
ALB,Albania,Europe,549.9322618401596,27956.426975700328,1.9671049605808342,12,3965.3711026157553,2853463.8
TUR,Turkey,Asia,14994.79320426266,780021.6446732183,1.922356040587126,325,9086.446018126839,74169687.45
ARM,Armenia,Asia,550.6160931825807,30686.18287560466,1.7943453423798674,13,2898.849650647858,3064745.0
ITA,Italy,Europe,5000.133431650774,291833.95155226736,1.7133487742104783,129,33000.882584791456,59172282.05
MNE,Montenegro,Europe,228.04884257606628,13600.519074867263,1.676765727254362,6,5968.6565562268715,619327.5
HRV,Croatia,Europe,1022.9064101029746,61023.471774887556,1.676250761143882,28,12532.239801673926,4209026.45
HUN,Hungary,Europe,1557.8299154560807,94513.37292796273,1.648264015128785,45,12763.135710509108,9940614.6
BLR,Belarus,Europe,3391.973869976794,207411.00694905766,1.6353875909825264,113,5137.402655007156,9554766.6
ECU,Ecuador,South America,4288.7949737024865,262584.03757695766,1.6333037656356146,85,4527.747605270807,15198816.3
GRC,Greece,Europe,2094.9392172898692,131765.62802508555,1.5898981006572022,55,21494.947031568296,10926092.15
URY,Uruguay,South America,2870.4561865650953,181782.5578360445,1.5790602908965843,70,12175.972521421336,3330453.65
KEN,Kenya,Africa,9318.94042482953,596071.8221620058,1.563392208514219,193,1125.4394799595423,42015177.4
BIH,Bosnia and Herzegovina,Europe,746.2544924697764,48802.85171662591,1.5291206686095071,22,4217.994334760241,3776932.8
IDN,Indonesia,Asia,28063.796109292947,1874805.1656972445,1.4968913369115853,608,2623.0711256319437,247682889.35
SYR,Syria,Asia,2690.0521398412457,184593.70380887712,1.4572827156805124,73,1491.0718846289,20128969.9
MKD,North Macedonia,Europe,368.0967596898107,25402.732993044134,1.4490439268507223,11,4671.423444042345,1949970.1
JAM,Jamaica,North America,156.3658584698226,11742.376028488547,1.331637294619577,4,4817.701269398679,2745976.75
GEO,Georgia,Asia,859.5135404961712,68855.7846563572,1.2482808013673772,30,3218.0801448594875,3811855.45
BTN,Bhutan,Asia,401.2069355091891,35649.12576405497,1.1254327473963648,13,2273.468050027363,701958.1
CHN,China,Asia,104469.26313194347,9365719.94005827,1.1154429536710395,3801,5363.112641870794,1344138250.0
CHL,Chile,South America,7957.562535493835,726817.1313187999,1.0948507117677517,303,11281.466765699175,17353549.7
GNQ,Equatorial Guinea,Africa,291.24311227688383,27804.37391608789,1.0474722903520142,9,10002.254799126273,1224377.5
UZB,Uzbekistan,Asia,4288.14392157049,447561.15267007786,0.9581135216915305,194,1667.1932802027573,28849615.95
GUY,Guyana,South America,1933.1543503607027,206272.4531760272,0.9371849321591198,67,4142.920438033771,764027.3
PNG,Papua New Guinea,Oceania,4125.665833356115,451234.9266484146,0.9143055179703943,147,1785.7041060178854,7752211.55
ISR,Israel,Asia,200.03359945903276,23681.330600437992,0.8446890203683618,9,31419.88951549424,7741620.0
PER,Peru,South America,10778.918147017977,1293228.1173578962,0.8334893127006572,425,4823.012563633097,29498306.65
ESP,Spain,Europe,4110.1404435887025,501778.5464190905,0.819114422671206,213,27647.638466123055,45342751.4
LVA,Latvia,Europe,453.2966205591152,59158.56411547093,0.7662400657229115,35,11878.384493954156,2099683.05
USA,United States of America,North America,69593.22718725384,9423020.252945408,0.7385448117391097,4456,50842.81771956019,309807609.95
TKM,Turkmenistan,Asia,3449.4091832941817,467309.87428733753,0.7381417284525906,195,3749.208247243479,5703502.8
PRI,Puerto Rico,North America,63.371512910769894,8806.782021366409,0.7195762624420848,3,25911.46341985121,3640156.05
MNG,Mongolia,Asia,10638.982081623491,1565520.6375018265,0.6795810816394351,741,2651.651135232677,2809488.8
LBN,Lebanon,Asia,67.05660923664652,10265.269701875897,0.6532376760095495,4,6618.256932508593,5303722.5
PSE,Palestine,Asia,50.94194607905078,7885.314809970464,0.6460356663837697,3,2511.115259680134,3850797.6
IRQ,Iraq,Asia,2827.7617008838743,440310.2723072205,0.6422202430269086,170,3951.797480758915,32883267.15
KGZ,Kyrgyzstan,Asia,1243.8307012970956,199139.64236012707,0.6246022572681605,86,904.2210727864594,5653662.2
BHS,The Bahamas,North America,49.81683973917378,8476.063916924133,0.5877355365348843,3,28777.30443237877,366222.55
KOR,South Korea,Asia,566.2603354295682,99421.67561009982,0.5695542063184099,40,25055.173159573365,49715285.9
LTU,Lithuania,Europe,375.7635144065868,66726.4431171451,0.5631403336558725,38,12692.280397926157,3098791.05
MYS,Malaysia,Asia,1841.5884260158102,332956.00830993516,0.553102626188848,108,8209.491788408835,28824144.55
SOM,Somalia,Africa,1986.7809512547594,473667.03490704065,0.41944674314197833,154,394.0022729282733,12499656.0
SVK,Slovakia,Europe,200.33888588674722,50910.58508122442,0.39351126208257087,25,14543.799761824843,5403528.2
CAN,Canada,North America,35392.203455945615,9903128.403031353,0.3573840711296043,6778,42059.08741119305,34259760.25
ERI,Eritrea,Africa,425.7679875273048,119256.88564323593,0.3570175300410033,40,464.4134682776884,2893220.15
POL,Poland,Europe,1101.9847285024787,312690.41168519086,0.352420377255421,165,11538.347331598115,38058915.4
IRN,Iran,Asia,5172.761231270055,1615789.4167953879,0.32013832851617796,621,4692.931567786637,77786402.05
NER,Niger,Africa,3503.458406745464,1187246.8837288553,0.29509097515943344,403,439.7497264059413,17233920.7
GBR,United Kingdom,Europe,701.7040461757016,241252.7365373933,0.2908584815438726,133,41434.499874516034,62979228.15
SUR,Suriname,South America,438.3759894081411,151044.0143737494,0.29023062663271504,49,5923.352629300511,552675.0
DNK,Denmark,Europe,132.14652097150636,46789.12846232062,0.2824299689145187,27,54148.14789962971,5572441.9
TJK,Tajikistan,Asia,383.2261236263734,137915.17899512904,0.277870881521974,57,663.1430656861066,7885443.8
EST,Estonia,Europe,116.45059043783868,43386.879369972725,0.26840047527924316,27,15859.015337905628,1337786.75
FRA,France,Europe,1627.9273351285383,629632.0718576038,0.25855216211043114,283,37706.1699000185,64935110.7
NLD,Netherlands,Europe,81.6977469946404,33954.9637353973,0.2406061971713205,18,47467.68479953955,16678911.85
BEL,Belgium,Europe,78.45296863883027,33309.00228808457,0.2355308272529519,17,41292.657889359616,10921001.3
NCL,New Caledonia,Oceania,38.16040663433164,17265.023805295314,0.2210272459782393,6,30727.682218902803,262523.25
CZE,Czechia,Europe,141.39363204619428,75952.53117477655,0.1861605266595123,38,17875.724790180535,10430474.75
TUN,Tunisia,Africa,258.57590421700166,155859.61462901102,0.16590308197058218,61,3645.3595388474123,10879464.3
MRT,Mauritania,Africa,1634.6528666923182,1036870.5619476249,0.15765254860952344,358,1438.4230275976956,3518300.1
EGY,Egypt,Africa,1457.6845453956303,1000291.2733485606,0.1457260084371132,362,2228.8421386605864,91173345.85
DEU,Germany,Europe,530.9315981013971,364989.3417944035,0.1454649594673556,188,41161.09017632519,82048562.15
JPN,Japan,Asia,552.3556443835789,384269.6649775937,0.14374167276924815,157,39936.27566691219,127447900.0
NZL,New Zealand,Oceania,340.5217770518706,272064.95017284807,0.12516194270358258,118,33708.635523746176,4411510.0
FIN,Finland,Europe,351.75677859316136,327474.9411330883,0.1074148688678456,246,43822.418106222576,5369947.35
IRL,Ireland,Europe,74.54411566028892,74099.66999891851,0.10059979438690739,40,57005.156851210064,4497500.8
SWE,Sweden,Europe,415.68998202542775,437932.70768596313,0.09492097181366836,310,49435.36155909083,9488985.65
DZA,Algeria,Africa,2138.353443033241,2331732.1288375687,0.09170665088786455,858,4240.154360363499,36993696.9
CHE,Switzerland,Europe,32.43384067389004,35984.84512756671,0.0901319445975429,17,73437.23983928331,7897720.9
SVN,Slovenia,Europe,16.962325876128308,21433.25649055707,0.07914021783671307,10,21377.850923105412,2040298.05
AUT,Austria,Europe,54.26253807277656,81370.06329056254,0.06668612002796616,39,43881.34125572785,8444993.5
MAR,Morocco,Africa,335.87775481739567,585973.3591730387,0.05731962888063833,219,2858.8970458984395,32696502.6
AFG,Afghanistan,Asia,359.5183844394185,646961.405072873,0.055570298571198815,252,433.4716220485748,29406993.55
NOR,Norway,Europe,200.33674025033784,390520.9265729692,0.05129987322533527,348,78481.70022294405,4930794.15
VUT,Vanuatu,Oceania,2.726997498642607,8909.749414073705,0.030606893324464132,3,2699.199492863053,241953.05
JOR,Jordan,Asia,22.482973880768427,87093.03129942309,0.025814894194545454,33,3535.6216200976755,7854375.65
SAU,Saudi Arabia,Asia,318.1705139405982,1922769.1013929858,0.01654751544062642,683,21224.293090531002,25001722.45
YEM,Yemen,Asia,35.86785061051894,460568.87479395175,0.007787727867317439,155,935.0115655608926,27515232.45
ISL,Iceland,Europe,5.757111868014078,99226.2850737994,0.00580200282992781,76,53672.89183511385,320020.15
LBY,Libya,Africa,68.8306136448002,1627369.0271648325,0.004229563946212951,592,9050.910408307474,6265704.85
DJI,Djibouti,Africa,0.8594343877769518,21178.071676084095,0.004058133341514237,7,1607.730452352842,939596.65
SLB,Solomon Islands,Oceania,1.03126039557696,30545.908164894045,0.003376099967334322,10,1663.010987526577,569495.3
OMN,Oman,Asia,9.97908451440892,320775.18602898036,0.0031109278239206946,111,18438.054312234945,3315719.15
KWT,Kuwait,Asia,0.6162518358836588,21561.931472959604,0.0028580548855583194,8,35711.16248117578,3131910.2
ARE,United Arab Emirates,Asia,1.1225107970398787,65037.09069914154,0.0017259548128199028,23,42678.54665562461,6829273.15
QAT,Qatar,Asia,0.10703223882379409,8387.011104066356,0.001276166652168859,3,66076.44395369657,1668152.5
GRL,Greenland,North America,13.819460806557831,2154986.4562952993,0.0006412783136612039,2658,41900.38233645557,56481.9
