iso3,admin,continent,area_km2,burned_frac_pct,p_ann,t_air,gpp,gdp_pcap,pop,popdens
COD,Democratic Republic of the Congo,Africa,2354662.557992154,30.58079144648978,1467.7111175786702,24.261773554547513,2.1286025402677446,351.2008466948722,71440845.1,30.340162694445006
COG,Republic of the Congo,Africa,339699.7621356264,14.248596426598862,1616.1520981530566,24.954909024896484,2.0209366101942194,2329.4825979257826,4485636.2,13.204708098114867
COL,Colombia,South America,1154455.3816255606,2.862259600301783,2591.1526881517343,24.495221156485186,2.5747772881409503,5426.618966941409,44958552.95,38.94351714718932
CHN,China,Asia,9365719.94005827,1.1154429536710395,592.9719033926161,7.384309032502166,0.5010697317435079,5363.112641870794,1344138250.0,143.51681009069733
CHL,Chile,South America,726817.1313187999,1.0948507117677517,764.8377523894325,8.992251377710005,0.7978921674758679,11281.466765699175,17353549.7,23.876087879921347
TCD,Chad,Africa,1281661.897517996,12.491924804012701,326.8655877481418,22.588917680357323,0.009734568985331404,894.1494910369031,12721210.3,9.925558624029689
CAF,Central African Republic,Africa,623159.8319692349,56.477866891777964,1369.426567400588,26.738615902276536,1.5966631913087355,393.58373991461315,4517980.65,7.250115328715621
CAN,Canada,North America,9903128.403031353,0.3573840711296043,499.54314972920054,-1.8000477407383022,0.37276382247861395,42059.08741119305,34259760.25,3.459488643963565
CMR,Cameroon,Africa,460900.5437845433,23.68277448122447,1597.247501554668,24.818599926537583,2.0056738768493,1345.0684068517467,20260507.6,43.95852396622721
KHM,Cambodia,Asia,189941.06466855618,31.052838190666858,1792.4992777014083,26.515732796913664,1.8155158142717567,1124.237802276233,14641290.7,77.0833349046916
MMR,Myanmar,Asia,658970.7424622956,22.071779043090025,2037.0634532412012,23.792199225251522,1.7151918426613546,846.5732110244735,49388733.15,74.94829431342451
BDI,Burundi,Africa,30855.419340420864,12.351565015197057,1108.1311730001073,18.781607139635323,0.6443939515116468,199.11493081988385,9490524.85,307.58048514243757
BFA,Burkina Faso,Africa,262694.93843509466,20.923302315811515,816.6995451820147,29.60621522506418,0.143278523207776,596.0142821422545,16623525.1,63.2807209725027
BGR,Bulgaria,Europe,111214.42998519284,4.43744605412256,669.3722791835196,11.446302027642503,0.6981382895664453,6565.156426607267,7296213.5,65.60491746414043
BRA,Brazil,South America,8524625.945010588,4.135141907206826,1775.545808509025,25.727985732527518,1.8344292101259254,8192.923131277155,193834507.55,22.7381833291407
BWA,Botswana,Africa,589053.9978950243,4.8236782747366345,396.8860594082754,23.27871415109019,0.001022668549364597,5854.721537723524,2041801.95,3.4662390159414063
BIH,Bosnia and Herzegovina,Europe,48802.85171662591,1.5291206686095071,1108.535204698961,10.327819702163756,1.1585102703447427,4217.994334760241,3776932.8,77.39164141330892
BOL,Bolivia,South America,1082094.9639552238,4.472482529060549,1119.7813764196967,20.484512407519695,1.531755470436281,2273.473048841358,10272877.8,9.493508557188964
BTN,Bhutan,Asia,35649.12576405497,1.1254327473963648,1757.9629763979317,6.319666019509608,1.5170698312536444,2273.468050027363,701958.1,19.690752156053843
BEN,Benin,Africa,118834.64188953157,46.0478030057921,1024.0075478053243,28.167481792668724,0.6171257772864828,954.3692863326676,10065530.3,84.7019870633085
BLZ,Belize,North America,17703.010960158117,5.903466248787579,2053.6294537651024,25.08387141312288,2.2552139046699717,5601.253403581325,322207.7,18.200728719264273
BEL,Belgium,Europe,33309.00228808457,0.2355308272529519,917.6971071868846,10.794054259929352,0.20419400770491827,41292.657889359616,10921001.3,327.86936112783854
BLR,Belarus,Europe,207411.00694905766,1.6353875909825264,650.7318237200291,7.551231899525444,0.7395439066513287,5137.402655007156,9554766.6,46.0668251919087
BGD,Bangladesh,Asia,130078.68191478681,3.101006581344294,2028.5780723528326,25.817259894455965,0.5581173736238988,1000.3691140353234,152577367.9,1172.9621307198659
BHS,The Bahamas,North America,8476.063916924133,0.5877355365348843,427.5437588961577,8.322006147808137,0.4308562961953737,28777.30443237877,366222.55,43.20667630511427
AZE,Azerbaijan,Asia,87299.70224821764,3.493099565205409,512.4449472407392,12.225799686532524,0.3712436225081065,4271.112876051807,9089276.6,104.11578007627823
AUT,Austria,Europe,81370.06329056254,0.06668612002796616,1129.6399237373676,6.986695354520343,0.8161752666414048,43881.34125572785,8444993.5,103.78501820557717
AUS,Australia,Oceania,7718923.581156114,7.092387891577579,487.46400193866634,22.47314992843268,0.18196200687110672,47013.503441855064,22253776.5,2.8830155223102887
ARM,Armenia,Asia,30686.18287560466,1.7943453423798674,501.2402082626058,6.525534045547495,0.43290570265212364,2898.849650647858,3064745.0,99.87377747254628
ARG,Argentina,South America,2792275.729950954,2.8273555678085347,603.2486402257898,15.15071651768478,0.6329106592891134,9237.886011036815,41515157.5,14.867857444984205
AGO,Angola,Africa,1257156.8943940552,42.70063851509097,1035.5067693105832,22.91396231478138,0.7632631397853983,3148.2058752463654,24270702.85,19.306025332421523
DZA,Algeria,Africa,2331732.1288375687,0.09170665088786455,70.4071646578309,13.259527493514307,0.039284762900259715,4240.154360363499,36993696.9,15.865328801058444
ALB,Albania,Europe,27956.426975700328,1.9671049605808342,1149.0887799293303,12.939505548065139,1.1623604926879347,3965.3711026157553,2853463.8,102.0682579530004
AFG,Afghanistan,Asia,646961.405072873,0.055570298571198815,138.15712628186355,10.77256960487379,0.0037719258043475055,433.4716220485748,29406993.55,45.45401521546348
