country,iso3,cells,model_km2_y,obs_km2_y,ratio,model_peak,obs_peak,phase_months
Malaysia,MYS,57,3418.0200154551117,1721.87202813065,1.9850604223856776,Apr,Aug,4
Maldives,MDV,15,0.0,0.0,inf,Jan,Jan,0
Mali,MLI,141,110641.63066427478,130883.36079323203,0.8453452753178085,Dec,Nov,1
Malta,MLT,2,0.0,0.21584074509308224,0.0,Jan,Jul,6
Marshall Islands,MHL,16,0.0,0.0,inf,Jan,Jan,0
Mauritania,MRT,122,1098.3923623888813,3540.1331501403643,0.3102686582128502,Nov,Oct,1
Mauritius,MUS,4,0.0,8.072437228235515,0.0,Jan,Sep,4
Mexico,MEX,259,129370.0896224704,69452.49862567749,1.862713252689812,Apr,May,1
Moldova,MDA,10,2117.4017817711438,1677.8723851382817,1.261956392229817,Aug,Aug,0
Monaco,MCO,1,0.0,0.03477309361866339,0.0,Jan,Aug,5
Mongolia,MNG,238,10970.688877359571,11129.717490258068,0.9857113522389318,Apr,May,1
Montenegro,MNE,7,444.2290302664217,180.2409865067853,2.46463936353177,Aug,Aug,0
Montserrat,MSR,1,0.0,0.00272107579401606,0.0,Jan,Feb,1
Morocco,MAR,84,9503.426490338508,308.93646194008335,30.76175091362848,Jul,Aug,1
Mozambique,MOZ,101,205783.3368476092,271498.5226548868,0.7579537996572786,Sep,Sep,0
Myanmar,MMR,98,119932.65816704615,144999.00152223863,0.8271274761064611,Mar,Mar,0
Namibia,NAM,97,15679.919773861855,36149.79071869838,0.4337485629135734,Sep,Sep,0
Nauru,NRU,1,0.0,0.0,inf,Jan,Jan,0
Nepal,NPL,28,10547.072780047332,7310.077121005084,1.4428127919117197,Apr,Apr,0
Netherlands,NLD,17,467.59853726232217,81.68661105687242,5.724298403526221,Apr,Apr,0
New Caledonia,NCL,14,268.7593237722586,26.11715071075028,10.290530033264023,Dec,Nov,1
New Zealand,NZL,73,0.0,308.2109929200554,0.0,Jan,Mar,2
Nicaragua,NIC,23,15158.057410894611,6129.855557942447,2.472824566192972,Apr,Apr,0
Niger,NER,131,25543.95368945416,4784.945062091593,5.3384006206935215,Nov,Nov,0
Nigeria,NGA,100,274049.1045451193,222445.93077369788,1.2319807496227888,Jan,Jan,0
Niue,NIU,2,0.0,0.0,inf,Jan,Jan,0
Norfolk Island,NFK,2,0.0,0.0,inf,Jan,Jan,0
North Korea,PRK,27,1199.5865623382965,1708.9588316478298,0.7019400000300878,Apr,Apr,0
North Macedonia,MKD,9,948.443616580107,415.208590561042,2.284258173219736,Aug,Aug,0
Northern Cyprus,CYN,3,0.0,13.15004002079883,0.0,Jan,Oct,3
Northern Mariana Islands,MNP,8,0.0,0.0017093624772190053,0.0,Jan,May,4
Norway,NOR,196,0.0,203.04920094889258,0.0,Jan,Apr,3
Oman,OMN,47,135.85219842921163,8.426419491339106,16.12217366686338,Oct,Dec,2
Pakistan,PAK,118,15666.441745118598,17666.541013955604,0.8867860286143713,May,May,0
Palau,PLW,6,0.0,0.0,inf,Jan,Jan,0
Palestine,PSX,4,151.9696371748074,35.64742501492227,4.263130846370862,Jul,Jun,1
Panama,PAN,18,5556.069534901986,1815.7342555098735,3.0599574348735272,Mar,Apr,1
Papua New Guinea,PNG,104,2248.758562493007,3909.119798897255,0.5752595669049007,Oct,Oct,0
Paraguay,PRY,53,50031.66493133266,38491.51244533439,1.2998103153880376,Sep,Aug,1
Peru,PER,148,12897.556733467178,10450.938147507664,1.2341051637113538,Sep,Aug,1
Philippines,PHL,92,9062.532450041268,8094.072134953345,1.1196505663577836,Apr,Apr,0
Pitcairn Islands,PCN,4,0.0,0.0,inf,Jan,Jan,0
Poland,POL,59,22258.77787885686,1396.8411841127145,15.935081333527425,Apr,Apr,0
Portugal,PRT,30,6166.650351972887,1970.5707335330455,3.129372748227449,Aug,Aug,0
Puerto Rico,PRI,6,129.2486479105679,32.72329804494923,3.9497439326876513,Mar,Feb,1
Qatar,QAT,5,0.0,0.0,inf,Jan,Jan,0
