attempt_id,model_family,stage,artifact_kind,source_path,git_blob,archive_path,declared_model,parameter_count,record_count,first_seen_commit,first_seen_date,history_refs
coupled-E:962f80a30ef1:models/C/params.coupledE_nam.json,coupled-E,committed-parameter-set,model-parameters,models/C/params.coupledE_nam.json,962f80a30ef15791b72bbf4be8006db6098d26d6,model/other-models/commit-artifacts/by-path/models/C/params.coupledE_nam.962f80a30ef15791b72bbf4be8006db6098d26d6.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,13,a71c1440187be918adebfd8db43fb83be18c1226,2026-07-23T12:01:43-04:00,coupled-refit-gfed5
coupled-E:f72cbcbd79a3:models/C/params.coupledE_nogdp.json,coupled-E,committed-parameter-set,model-parameters,models/C/params.coupledE_nogdp.json,f72cbcbd79a3676796ff9f6d9252066977ab3e45,model/other-models/commit-artifacts/by-path/models/C/params.coupledE_nogdp.f72cbcbd79a3676796ff9f6d9252066977ab3e45.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,13,f5c99af32bba749ff2d9c17c445caeb1e01a9e6d,2026-07-24T02:48:47-04:00,coupled-refit-gfed5
coupled-E:dc3aaf408f0a:models/C/params.coupledE_sam.json,coupled-E,committed-parameter-set,model-parameters,models/C/params.coupledE_sam.json,dc3aaf408f0a90bada7920301d34a0fa2b47cd2f,model/other-models/commit-artifacts/by-path/models/C/params.coupledE_sam.dc3aaf408f0a90bada7920301d34a0fa2b47cd2f.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,13,a71c1440187be918adebfd8db43fb83be18c1226,2026-07-23T12:01:43-04:00,coupled-refit-gfed5
coupled-E:c2f0083e84b9:models/C/params.coupledE_sea.json,coupled-E,committed-parameter-set,model-parameters,models/C/params.coupledE_sea.json,c2f0083e84b976f27d37e0cd4efa2bdbccb006f2,model/other-models/commit-artifacts/by-path/models/C/params.coupledE_sea.c2f0083e84b976f27d37e0cd4efa2bdbccb006f2.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,13,a71c1440187be918adebfd8db43fb83be18c1226,2026-07-23T12:01:43-04:00,coupled-refit-gfed5
coupled-E:62d3c526fd0b:models/C/params.coupledE_smoke.json,coupled-E,committed-parameter-set,model-parameters,models/C/params.coupledE_smoke.json,62d3c526fd0b6175625b629af0fb0eb9a18ccd02,model/other-models/commit-artifacts/by-path/models/C/params.coupledE_smoke.62d3c526fd0b6175625b629af0fb0eb9a18ccd02.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,13,3fb01b4a06f1eddc8f9ac0ed73788ab6ee8f57bb,2026-08-18T03:46:27-04:00,coupled-refit-gfed5
coupled-E:13e75e34ce7b:models/C/params.coupledFW.json,coupled-E,committed-parameter-set,model-parameters,models/C/params.coupledFW.json,13e75e34ce7b265ec0bdc56a49307065b077c056,model/other-models/commit-artifacts/by-path/models/C/params.coupledFW.13e75e34ce7b265ec0bdc56a49307065b077c056.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,13,3fb01b4a06f1eddc8f9ac0ed73788ab6ee8f57bb,2026-08-18T03:46:27-04:00,coupled-refit-gfed5
coupled-E:ecac5b4bbb44:models/C/params.coupledFW.k1.json,coupled-E,optimizer-checkpoint,model-parameters,models/C/params.coupledFW.k1.json,ecac5b4bbb448a0af490bcb5084bd13bd5adc997,model/other-models/commit-artifacts/by-path/models/C/params.coupledFW.k1.ecac5b4bbb448a0af490bcb5084bd13bd5adc997.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,17,3fb01b4a06f1eddc8f9ac0ed73788ab6ee8f57bb,2026-08-18T03:46:27-04:00,coupled-refit-gfed5
coupled-E:4450eb404d49:models/C/params.coupledFW.k2.json,coupled-E,optimizer-checkpoint,model-parameters,models/C/params.coupledFW.k2.json,4450eb404d4990a77d51c701647019934f2f17be,model/other-models/commit-artifacts/by-path/models/C/params.coupledFW.k2.4450eb404d4990a77d51c701647019934f2f17be.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,17,3fb01b4a06f1eddc8f9ac0ed73788ab6ee8f57bb,2026-08-18T03:46:27-04:00,coupled-refit-gfed5
coupled-E:f9ac44a7fdfe:models/C/params.coupledFW.k3.json,coupled-E,optimizer-checkpoint,model-parameters,models/C/params.coupledFW.k3.json,f9ac44a7fdfedef61c0127effe03901351c4ac6f,model/other-models/commit-artifacts/by-path/models/C/params.coupledFW.k3.f9ac44a7fdfedef61c0127effe03901351c4ac6f.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,17,3fb01b4a06f1eddc8f9ac0ed73788ab6ee8f57bb,2026-08-18T03:46:27-04:00,coupled-refit-gfed5
coupled-E:f0acdc3902a5:models/C/params.coupledFW.k4.json,coupled-E,optimizer-checkpoint,model-parameters,models/C/params.coupledFW.k4.json,f0acdc3902a533a3416c0c0d7482515dd0398d0e,model/other-models/commit-artifacts/by-path/models/C/params.coupledFW.k4.f0acdc3902a533a3416c0c0d7482515dd0398d0e.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,17,3fb01b4a06f1eddc8f9ac0ed73788ab6ee8f57bb,2026-08-18T03:46:27-04:00,coupled-refit-gfed5
