path,sha256,bytes,parameter_count,declared_model
model/parameters/coupled-gfed5/params.G_SAmerica.k5.json,e18fa13d658b1f9ae52d89f5a5171d738c2f4398c35edcc02bd5bd628d1b9e59,1680,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_SEAsia.json,f2c693b3720910b895f75f2733b30eb2cd49cbd7f73273c821c104479a9b3eb8,1561,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_SEAsia.k1.json,2f47b98eef8032c0ce121e894aa5a9c59f9a70cffee89f427baba32c49c601e8,1677,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_SEAsia.k2.json,9d87fd8818f526e949f870e99e90b75a75c71d8e03b392a782b40c94285e1a62,1672,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_SEAsia.k3.json,96d8ce1073995560412ef075813b7ef3ade4fa4b49d7fd37284bc3b763888e71,1675,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gsmoke.k1.json,33a6646bc505d92e302e237f6c6fa92c08cc2983fa116f8263616d19063d5c45,1666,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Africa.json,b8aa529193abcbdedd2998b32812ae7ca4c04f2f405c0335cbe3088effbd0335,1633,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Africa.k1.json,faf614af74ed6c7c4af3e0730df7e6ccdd82a493365d92aea523474df920b2b6,1750,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Africa.k2.json,0182b692a4418689ab273990f4f39fe42fcdb1473290a1f87985e1c4bb047a0b,1748,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Africa.k3.json,26c769b42df581c12dc529b7a1e832e6e2751ca47f934dc6bae125b18e9af449,1749,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Africa.k4.json,8de552ff287d9329279fe6a762c509ee4229399c891a13fc243fcc2e031b9979,1746,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Africa.k5.json,3128be5602645ce55f3e4c326eaa4f69018fa96671e7e117208d9e072692954e,1747,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Australia.json,878c7722ca95e9764384b4f97355d4fa258ef92d2e0e1337c379787e9ed8d8b3,1628,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Australia.k1.json,dbd82d60558b8bc6eb6dcf41591207eb6fe705ed9b644b1c999727b244c05d81,1745,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Australia.k2.json,878efb38c4f7c8176fc56a4f0f12542fd2742a6919bb1b94c4357d53fc183182,1745,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Australia.k3.json,f6355c97f950fff0d98c20f5996fb9e6598f634a46b8d351b6c35dabb8a34421,1750,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Australia.k4.json,b5345079326d786e75b64755f7eddb027b4bb8aa0cc33f87fcb6c2a7a41f262e,1751,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Australia.k5.json,508605e454b76a0832bb669ddf9d0f1683666b85023b01fb57cf9f7255710c34,1750,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Boreal.json,324796af3c7dbc3f095f3c47228a715099baef37d47e09dbb3f62510b60dd8be,1628,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Boreal.k1.json,9d3251b2b1fc6bb573e4cfc296aa6b8f943325f9b44ffe715c542ce1acf04da8,1745,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Boreal.k2.json,c15f00c4af4cacf5f04dbc0b153688ae64a4adb29524e7d86b429174960a3867,1748,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Boreal.k3.json,dd0d00e4e5ac2fee3b968fb21eb3dd405a190a9d6ba4ad25ac476e7d8553df73,1747,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Boreal.k4.json,ef70f810580d72ba1323489c3f7af3037b107617f8f35dee79f651ab82aa3e39,1746,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Boreal.k5.json,49a05023676774599aa71764ceb0d3e8296b9105f822d4e156243b6503b18b3c,1748,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Europe.json,4d3f7985fbfe00bd48d0e8f691d5c3114dbe8ce3b0bc92a1e323b5dff2cacf48,1636,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Europe.k1.json,2f83416ffcc6468195e2b82f662f00dc84cc826408127af7db05dcb2d5dc9d53,1753,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_Europe.k2.json,776c649a113159cbf6bbf4b470fcc7a036d8920b6bf0d5da0efda78ebaa830bc,1753,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
